calves|calf
elves|elf
halves|half
hooves|hoof
knives|knife
leaves|leaf
lives|life
loaves|loaf
scarfs|scarf
scarves|scarf
selves|self
sheaves|sheaf
shelves|shelf
thieves|thief
wives|wife
wolves|wolf
ourselves|ourself
themselves|themself
theirselves|theirself
yourselves|yourself
feet|foot
geese|goose
lice|louse
men|man
mice|mouse
teeth|tooth
women|woman
children|child
people|person
oxen|ox
echoes|echo
embargoes|embargo
heroes|hero
potatoes|potato
tomatoes|tomato
torpedoes|torpedo
vetoes|veto
barefeet|barefoot
firemen|fireman
gentlemen|gentleman
milkmen|milkman
policemen|policeman
workmen|workman
