subject	session	speaker	protocol	last_update	utterances	word_tokens	word_types	mlu
22	1	P	H		891	3308	470	3.71268237935
22	1	C	H		87	100	37	1.14942528736
22	2	P	H		1078	4103	469	3.80612244898
22	2	C	H		385	428	86	1.11168831169
22	3	P	H		1025	3941	452	3.84487804878
22	3	C	H		460	611	144	1.32826086957
22	4	P	H		1517	6132	664	4.04218852999
22	4	C	H		995	1741	276	1.74974874372
22	5	P	H		1210	5434	654	4.49090909091
22	5	C	H		1270	3361	401	2.64645669291
22	6	P	H		1252	5604	650	4.47603833866
22	6	C	H		1065	3283	397	3.08262910798
22	7	P	H		908	4065	577	4.4768722467
22	7	C	H		872	2832	403	3.24770642202
22	8	P	H		826	4057	662	4.91162227603
22	8	C	H		690	2307	344	3.34347826087
22	9	P	H		1138	5468	584	4.80492091388
22	9	C	H		841	2810	436	3.34126040428
22	10	P	H		939	4592	626	4.89030883919
22	10	C	H		733	2600	402	3.54706684857
22	11	P	H		985	4779	721	4.85177664975
22	11	C	H		839	2869	475	3.41954707986
22	12	P	H		1126	6619	900	5.878330373
22	12	C	H		577	1898	364	3.28942807626
24	1	P	H		1344	4216	515	3.1369047619
24	1	C	H		54	56	20	1.03703703704
24	2	P	H		751	2679	379	3.5672436751
24	2	C	H		151	161	50	1.06622516556
24	3	P	H		700	3049	449	4.35571428571
24	3	C	H		227	311	99	1.37004405286
24	4	P	H		763	2694	381	3.53079947575
24	4	C	H		409	664	163	1.62347188264
24	5	P	H		1220	4725	533	3.87295081967
24	5	C	H		1004	2513	387	2.50298804781
24	6	P	H		935	3863	418	4.13155080214
24	6	C	H		1044	2909	361	2.78639846743
24	7	P	H		1645	7027	577	4.2717325228
24	7	C	H		855	2343	358	2.74035087719
24	8	P	H		1482	6725	639	4.53778677463
24	8	C	H		1060	3316	421	3.12830188679
24	9	P	H		1383	6302	568	4.55676066522
24	9	C	H		997	3868	481	3.87963891675
24	10	P	H		1334	6298	612	4.72113943028
24	10	C	H		855	2943	443	3.44210526316
24	11	P	H		965	5323	671	5.51606217617
24	11	C	H		593	2886	413	4.86677908938
24	12	P	H		1032	4890	618	4.73837209302
24	12	C	H		723	3315	505	4.58506224066
25	1	P	H		612	2380	370	3.88888888889
25	1	C	H		2	3	2	1.5
25	2	P	H		749	2590	382	3.45794392523
25	2	C	H		16	17	6	1.0625
25	3	P	H		1241	4877	496	3.92989524577
25	3	C	H		242	265	33	1.09504132231
25	4	P	H		1130	3662	386	3.2407079646
25	4	C	H		639	907	132	1.41940532081
25	5	P	H		676	2401	356	3.55177514793
25	5	C	H		970	1596	189	1.64536082474
25	6	P	H		526	1862	291	3.53992395437
25	6	C	H		903	2011	189	2.22702104097
25	7	P	H		1313	5816	583	4.42955064737
25	7	C	H		972	2853	280	2.93518518519
25	8	P	H		1770	6627	593	3.74406779661
25	8	C	H		1554	4260	363	2.74131274131
25	9	P	H		1546	6777	542	4.38357050453
25	9	C	H		1497	4771	349	3.18704074816
25	10	P	H		702	3098	402	4.41310541311
25	10	C	H		1045	3836	345	3.67081339713
25	11	P	H		59	269	91	4.5593220339
25	11	C	H		636	2116	293	3.32704402516
25	12	P	H		643	2942	473	4.57542768274
25	12	C	H		853	3045	391	3.56975381008
27	1	P	H		1856	7609	566	4.09967672414
27	1	C	H		0	0	0	-
27	2	P	H		2183	9343	604	4.27989005955
27	2	C	H		11	15	8	1.36363636364
27	3	P	H		1790	6877	575	3.84189944134
27	3	C	H		33	33	17	1.0
27	4	P	H		1960	7347	618	3.74846938776
27	4	C	H		442	508	101	1.14932126697
27	5	P	H		1800	7643	731	4.24611111111
27	5	C	H		774	1058	198	1.3669250646
27	6	P	H		1717	7439	620	4.33255678509
27	6	C	H		783	1477	270	1.88633461047
27	7	P	H		1737	6810	581	3.92055267703
27	7	C	H		607	1532	243	2.52388797364
27	8	P	H		1713	6610	617	3.85872737887
27	8	C	H		742	1674	292	2.25606469003
27	9	P	H		2232	8138	722	3.64605734767
27	9	C	H		1102	2792	388	2.5335753176
27	10	P	H		1954	7934	737	4.06038894575
27	10	C	H		934	3669	461	3.92826552463
27	11	P	H		1553	6646	664	4.2794591114
27	11	C	H		610	2368	355	3.88196721311
27	12	P	H		1443	6206	744	4.30076230076
27	12	C	H		460	1202	298	2.61304347826
28	1	P	H		1220	4913	507	4.02704918033
28	1	C	H		14	17	4	1.21428571429
28	2	P	H		1717	6949	761	4.04717530577
28	2	C	H		70	92	26	1.31428571429
28	3	P	H		1407	5244	668	3.72707889126
28	3	C	H		284	292	34	1.02816901408
28	4	P	H		1295	5211	550	4.02393822394
28	4	C	H		660	698	61	1.05757575758
28	5	P	H		1064	4473	602	4.20394736842
28	5	C	H		651	1040	124	1.5975422427
28	6	P	H		573	2343	406	4.0890052356
28	6	C	H		575	1155	179	2.00869565217
28	7	P	H		853	3761	510	4.40914419695
28	7	C	H		1140	2975	302	2.60964912281
28	8	P	H		720	3603	507	5.00416666667
28	8	C	H		623	1956	260	3.13964686998
28	9	P	H		527	2153	410	4.08538899431
28	9	C	H		760	2383	320	3.13552631579
28	10	P	H		511	2438	491	4.771037182
28	10	C	H		308	995	189	3.23051948052
28	11	P	H		757	3708	500	4.89828269485
28	11	C	H		672	2191	282	3.26041666667
28	12	P	H		1191	7082	1030	5.946263644
28	12	C	H		546	2033	273	3.72344322344
29	1	P	H		1248	4268	468	3.41987179487
29	1	C	H		52	67	10	1.28846153846
29	2	P	H		1110	4179	427	3.76486486486
29	2	C	H		203	270	87	1.33004926108
29	3	P	H		987	3730	476	3.77912867275
29	3	C	H		1198	2187	275	1.82554257095
29	4	P	H		873	3825	446	4.38144329897
29	4	C	H		566	1458	233	2.57597173145
29	5	P	H		1032	4380	486	4.24418604651
29	5	C	H		961	3296	331	3.42976066597
29	6	P	H		1052	4666	539	4.43536121673
29	6	C	H		775	2812	358	3.62838709677
29	7	P	H		1359	4997	511	3.67696835909
29	7	C	H		978	4169	430	4.26278118609
29	8	P	H		1436	5670	543	3.94846796657
29	8	C	H		886	3471	376	3.91760722348
29	9	P	H		1190	4984	587	4.18823529412
29	9	C	H		1093	4650	493	4.25434583715
29	10	P	H		1513	6037	625	3.99008592201
29	10	C	H		990	3805	471	3.84343434343
29	11	P	H		0	0	0	-
29	11	C	H		656	2381	374	3.62957317073
29	12	P	H		7	20	14	2.85714285714
29	12	C	H		708	2916	410	4.1186440678
30	1	P	H		662	2622	486	3.96072507553
30	1	C	H		12	12	4	1.0
30	2	P	H		772	3627	578	4.6981865285
30	2	C	H		62	92	13	1.48387096774
30	3	P	H		813	3139	422	3.86100861009
30	3	C	H		60	64	29	1.06666666667
30	4	P	H		1054	3597	379	3.41271347249
30	4	C	H		179	180	55	1.00558659218
30	5	P	H		890	3248	454	3.64943820225
30	5	C	H		387	693	222	1.79069767442
30	6	P	H		663	2871	360	4.33031674208
30	6	C	H		453	974	256	2.15011037528
30	7	P	H		899	3772	509	4.1957730812
30	7	C	H		428	866	270	2.02336448598
30	8	P	H		968	4030	516	4.1632231405
30	8	C	H		333	714	227	2.14414414414
30	9	P	H		1328	6271	600	4.72213855422
30	9	C	H		399	1056	243	2.64661654135
30	10	P	H		1347	5920	748	4.39495174462
30	10	C	H		325	919	210	2.82769230769
30	11	P	H		1097	5287	550	4.8195077484
30	11	C	H		476	1701	294	3.57352941176
30	12	P	H		729	3676	405	5.04252400549
30	12	C	H		571	2260	260	3.95796847636
32	7	P	H		606	1896	322	3.12871287129
32	7	C	H		320	525	146	1.640625
32	8	P	H		125	463	178	3.704
32	8	C	H		681	1391	270	2.04258443465
32	9	P	H		374	1493	275	3.99197860963
32	9	C	H		482	1217	236	2.52489626556
33	1	P	H		683	2607	337	3.81698389458
33	1	C	H		5	8	5	1.6
33	2	P	H		956	4083	546	4.27092050209
33	2	C	H		102	103	26	1.00980392157
33	3	P	H		940	3838	425	4.0829787234
