id	subject	session	last_update	minutes	pcg	cast	note	anno_sr_p	anno_sr_c	anno_gs_p	anno_gs_c	anno_gx_p	anno_gx_c	anno_mor_p	anno_mor_c	anno_syn_p	anno_syn_c	anno_max_p	anno_max_c
102201	22	1		92	M			1	1	1	1								
102202	22	2		90	M			1	1	1	1								
102203	22	3		91.52	M			1	1	1	1								
102204	22	4		90	M			1	1	1	1								
102205	22	5		89.3	M			1	1	1	1								
102206	22	6		90	M			1	1	1	1								
102207	22	7		89.58	M			1	1	1	1								
102208	22	8		90	M			1	1	1	1								
102209	22	9	2011-06-29 21:26:45	90	M			1	1	1	1	1	1	1	1	1	1	1	1
102210	22	10	2011-06-29 21:26:45	90	M			1	1	1	1	1	1	1	1	1	1	1	1
102211	22	11			M														
102212	22	12			M														
102401	24	1		91.16	B			1	1	1	1								
102402	24	2		90	B			1	1	1	1								
102403	24	3		80	B			1	1	1	1								
102404	24	4		90	B			1	1	1	1								
102405	24	5		90.19	B			1	1	1	1								
102406	24	6		89.58	B			1	1	1	1								
102407	24	7		90	B			1	1	1	1								
102408	24	8		90	B			1	1	1	1								
102409	24	9	2011-06-29 21:26:45	90	B			1	1	1	1	1	1	1	1	1	1	1	1
102410	24	10	2011-06-29 21:26:45	90	B			1	1	1	1	1	1	1	1	1	1	1	1
102411	24	11			B														
102412	24	12			B														
102501	25	1		79.54	M			1	1	1	1								
102502	25	2		87.05	M			1	1	1	1								
102503	25	3		87.05	M			1	1	1	1								
102504	25	4		90	M			1	1	1	1								
102505	25	5		90	M			1	1	1	1								
102506	25	6		90	M			1	1	1	1								
102507	25	7		90	M			1	1	1	1								
102508	25	8		90	M			1	1	1	1								
102509	25	9	2011-06-29 21:26:45	90	M			1	1	1	1	1	1	1	1	1	1	1	1
102510	25	10	2011-06-29 21:26:45	90	M			1	1	1	1	1	1	1	1	1	1	1	1
102511	25	11			M														
102512	25	12			M														
102701	27	1		79.05	M			1	1	1	1								
102702	27	2		91.55	M			1	1	1	1								
102703	27	3		86.45	M			1	1	1	1								
102704	27	4		89.58	M			1	1	1	1								
102705	27	5		90	M			1	1	1	1								
102706	27	6		89.56	M			1	1	1	1								
102707	27	7		89.58	M			1	1	1	1								
102708	27	8		91.42	M			1	1	1	1								
102709	27	9	2011-06-29 21:26:45	90	M			1	1	1	1	1	1	1	1	1	1	1	1
102710	27	10	2011-06-29 21:26:45	90	M			1	1	1	1	1	1	1	1	1	1	1	1
102711	27	11			M														
102712	27	12			M														
102801	28	1		80.87	M			1	1	1	1								
102802	28	2		88.41	M			1	1	1	1								
102803	28	3		86.29	M			1	1	1	1								
102804	28	4		89.56	M			1	1	1	1								
102805	28	5		89.44	M			1	1	1	1								
102806	28	6		90	M			1	1	1	1								
