id	subject	session	last_update	completed	expected	missed	repeated	replaced_transcript	protocol	date	note	child_age	child_age_years	child_age_months	pcg	income	mother_pcg	mother_education	father_pcg	father_education	other_pcg	other_education
102201	22	1		1					H	2002-08-07		1-02	1.24	14.9	M	5	1					
102202	22	2		1					H	2002-11-13		1-06	1.51	18.1	M	5	1					
102203	22	3		1					H	2003-03-10		1-10	1.83	22.0	M	5	1					
102204	22	4		1					H	2003-07-14		2-02	2.18	26.13	M	5	1					
102205	22	5		1					H	2003-11-24		2-06	2.54	30.45	M	5	1					
102206	22	6		1					H	2004-03-17		2-10	2.86	34.23	M	5	1					
102207	22	7		1					H	2004-07-12		3-02	3.17	38.06	M	5	1					
102208	22	8		1					H	2004-11-02		3-05	3.48	41.74	M	5	1					
102209	22	9		1					H	2005-03-29		3-10	3.89	46.61	M	5	1					
102210	22	10		1					H	2005-07-21		4-02	4.2	50.35	M	5	1					
102211	22	11		1					H	2005-11-09		4-05	4.5	53.97	M	5	1					
102212	22	12		1					H	2006-03-06		4-09	4.82	57.87	M	5	1					
102401	24	1		1					H	2002-08-22		1-02	1.21	14.55	B	5	1		1			
102402	24	2		1					H	2002-12-16		1-06	1.53	18.35	B	5	1		1			
102403	24	3		1					H	2003-04-21		1-10	1.88	22.52	B	5	1		1			
102404	24	4		1					H	2003-08-19		2-02	2.2	26.45	B	5	1		1			
102405	24	5		1					H	2003-12-03		2-05	2.49	29.94	B	5	1		1			
102406	24	6		1					H	2004-03-31		2-09	2.82	33.84	B	6	1		1			
102407	24	7		1					H	2004-08-16		3-02	3.2	38.35	B	6	1		1			
102408	24	8		1					H	2004-12-02		3-05	3.49	41.9	B	6	1		1			
102409	24	9		1					H	2005-04-26		3-10	3.89	46.68	B	6	1		1			
102410	24	10		1					H	2005-08-19		4-02	4.2	50.45	B	6	1		1			
102411	24	11		1					H	2006-01-16		4-07	4.62	55.35	B	6	1		1			
102412	24	12		1					H	2006-05-05		4-11	4.92	59.0	B	6	1		1			
102501	25	1		1					H	2002-08-09		1-02	1.2	14.35	M	4	1					
102502	25	2		1					H	2002-11-25		1-05	1.49	17.87	M	4	1					
102503	25	3		1					H	2003-03-17		1-09	1.8	21.61	M	4	1					
102504	25	4		1					H	2003-08-04		2-02	2.18	26.19	M	4	1					
102505	25	5		1					H	2003-11-24		2-05	2.49	29.84	M	4	1					
102506	25	6		1					H	2004-04-01		2-10	2.84	34.1	M	4	1					
102507	25	7		1					H	2004-08-10		3-02	3.2	38.39	M	4	1					
102508	25	8		1					H	2004-12-10		3-06	3.54	42.39	M	4	1					
102509	25	9		1					H	2005-04-04		3-10	3.85	46.19	M	5	1					
102510	25	10		1					H	2005-08-03		4-02	4.18	50.16	M	5	1					
102511	25	11		1					H	2005-12-13		4-06	4.54	54.48	M	5	1					
102512	25	12		1					H	2006-04-03		4-10	4.85	58.16	M	5	1					
102701	27	1		1					H	2002-08-22		1-02	1.19	14.29	M	6	1					
102702	27	2		1					H	2002-12-10		1-05	1.49	17.9	M	6	1					
102703	27	3		1					H	2003-04-29		1-10	1.88	22.52	M	6	1					
102704	27	4		1					H	2003-08-14		2-02	2.17	26.03	M	6	1					
102705	27	5		1					H	2003-12-15		2-06	2.51	30.06	M	6	1					
102706	27	6		1					H	2004-04-08		2-09	2.82	33.84	M	6	1					
102707	27	7		1					H	2004-07-13		3-01	3.08	37.0	M	6	1					
102708	27	8		1					H	2004-12-13		3-06	3.5	42.0	M	6	1					
