SUBJ	SESS	SPKR	VTYPS	VTOKS
22	1	C	2	3
22	1	P	91	621
22	2	C	3	8
22	2	P	91	835
22	3	C	16	39
22	3	P	90	746
22	4	C	47	215
22	4	P	137	1110
22	5	C	70	449
22	5	P	135	1006
22	6	C	61	487
22	6	P	126	1027
22	7	C	71	426
22	7	P	121	710
22	8	C	56	343
22	8	P	137	724
22	9	C	82	494
22	9	P	109	985
22	10	C	83	489
22	10	P	126	832
22	11	C	87	440
22	11	P	156	839
22	12	C	73	332
22	12	P	193	1110
24	1	C	1	2
24	1	P	100	709
24	2	C	4	10
24	2	P	68	487
24	3	C	16	55
24	3	P	77	566
24	4	C	26	90
24	4	P	74	476
24	5	C	58	396
24	5	P	107	865
24	6	C	65	421
24	6	P	82	684
24	7	C	62	322
24	7	P	123	1208
24	8	C	66	440
24	8	P	126	1052
24	9	C	88	605
24	9	P	124	1011
24	10	C	84	540
24	10	P	113	1053
24	11	C	75	424
24	11	P	151	902
24	12	C	90	488
24	12	P	117	758
25	1	P	74	441
25	2	P	77	452
25	3	C	3	51
25	3	P	100	903
25	4	C	13	120
25	4	P	83	598
25	5	C	35	131
25	5	P	65	427
25	6	C	38	288
25	6	P	60	316
25	7	C	49	456
25	7	P	102	1041
25	8	C	68	615
25	8	P	104	1186
25	9	C	67	812
25	9	P	96	1139
25	10	C	63	658
25	10	P	60	467
25	11	C	57	365
25	11	P	19	50
25	12	C	63	463
25	12	P	98	497
27	1	P	114	1433
27	2	P	129	1687
27	3	P	98	1207
27	4	C	8	12
27	4	P	130	1189
27	5	C	31	75
27	5	P	161	1287
27	6	C	40	186
27	6	P	119	1160
27	7	C	42	200
27	7	P	117	1087
27	8	C	45	198
27	8	P	123	1073
27	9	C	56	355
27	9	P	119	1049
27	10	C	88	515
27	10	P	123	936
27	11	C	70	384
27	11	P	130	1126
27	12	C	44	180
27	12	P	127	975
28	1	P	100	835
28	2	C	1	1
28	2	P	139	1088
28	3	P	126	866
28	4	C	3	4
28	4	P	117	883
28	5	C	20	69
28	5	P	119	741
28	6	C	35	116
28	6	P	87	399
28	7	C	63	486
28	7	P	104	686
28	8	C	50	312
28	8	P	110	644
28	9	C	69	395
28	9	P	77	370
28	10	C	34	147
28	10	P	68	281
28	11	C	52	346
28	11	P	87	614
28	12	C	58	348
28	12	P	194	1132
29	1	C	1	9
29	1	P	86	790
29	2	C	7	28
29	2	P	83	771
29	3	C	63	445
29	3	P	98	652
29	4	C	49	267
29	4	P	88	686
29	5	C	66	555
29	5	P	88	740
29	6	C	67	435
29	6	P	110	797
29	7	C	81	654
29	7	P	108	892
29	8	C	78	573
29	8	P	119	931
29	9	C	95	774
29	9	P	108	808
