Subject	Session	Speaker	all	another	any	both	few	many	more	most	much	only	several	some
22	1	C	0	0	0	0	0	0	0	0	0	0	0	0
22	1	P	4	2	0	2	1	3	5	0	1	1	0	3
22	2	C	0	0	0	0	0	0	0	0	0	0	0	0
22	2	P	6	0	1	1	0	2	1	0	5	1	0	0
22	3	C	3	0	0	0	0	0	5	0	0	0	0	0
22	3	P	8	3	0	0	0	1	10	0	0	0	0	1
22	4	C	1	1	0	0	0	0	1	0	0	0	0	1
22	4	P	6	5	2	1	0	6	6	0	1	2	0	6
22	5	C	2	0	0	0	0	0	2	0	0	6	0	3
22	5	P	13	6	3	2	4	2	9	0	0	1	0	11
22	6	C	2	6	0	1	3	4	16	0	0	5	0	8
22	6	P	26	9	6	1	1	6	15	1	1	1	0	7
22	7	C	14	2	4	0	0	0	1	0	1	0	0	0
22	7	P	22	0	6	1	0	3	6	1	1	1	0	10
24	1	C	0	0	0	0	0	0	0	0	0	0	0	0
24	1	P	13	10	2	0	0	2	6	0	2	1	0	9
24	2	C	2	0	0	0	0	0	0	0	0	0	0	0
24	2	P	14	3	0	0	0	4	4	0	1	2	0	9
24	3	C	2	0	0	0	0	0	0	0	0	0	0	0
24	3	P	13	7	2	2	0	6	7	1	1	1	0	4
24	4	C	1	0	0	0	0	0	1	0	0	0	0	0
24	4	P	9	6	1	0	0	2	1	0	0	0	0	4
24	5	C	10	4	0	0	0	0	1	0	0	0	0	12
24	5	P	17	9	1	0	0	1	5	0	0	0	0	15
24	6	C	20	2	5	0	0	0	6	0	0	2	0	5
24	6	P	12	3	1	0	0	0	9	0	1	1	0	11
24	7	C	11	2	1	0	0	0	4	0	0	0	0	1
24	7	P	24	6	6	1	0	7	17	0	0	1	0	16
25	1	C	0	0	0	0	0	0	0	0	0	0	0	0
25	1	P	6	3	1	0	1	0	6	0	4	0	0	8
25	2	C	0	0	0	0	0	0	0	0	0	0	0	0
25	2	P	27	3	1	0	0	0	14	0	2	1	0	12
