subject_number	subject_project	visit_type	visit_status	projected_visit		
30.0	3	01H	1.0	0.0		
30.0	3	02H	1.0	0.0		
30.0	3	03H	1.0	0.0		
30.0	3	04H	1.0	0.0		
30.0	3	05H	1.0	0.0		
30.0	3	06H	1.0	0.0		
30.0	3	07H	1.0	0.0		
30.0	3	08H	1.0	0.0		
30.0	3	09H	1.0	0.0		
30.0	3	10H	1.0	0.0		
30.0	3	11H	1.0	0.0		
30.0	3	12H	1.0	0.0		
30.0	3	1G_1_07	1.0	0.0		
30.0	3	1G_2_08	1.0	0.0		
30.0	3	1G_3_08	1.0	0.0		
30.0	3	2G_1_08	1.0	0.0		
30.0	3	2G_2_09	1.0	0.0		
30.0	3	2G_3_09	1.0	0.0		
30.0	3	3G_1_09	1.0	0.0		
30.0	3	3G_2_10	1.0	0.0		
30.0	3	3G_3_10	1.0	0.0		
30.0	3	4G_1_10	1.0	0.0		
30.0	3	4G_2_11	1.0	0.0		
30.0	3	4G_3_11	1.0	0.0		
30.0	3	KG_1_06	1.0	0.0		
30.0	3	KG_2_07	1.0	0.0		
30.0	3	KG_3_07	1.0	0.0		
35.0	3	01H	0	0.0		
35.0	3	02H	0	0.0		
35.0	3	03H	1.0	0.0		
35.0	3	04H	1.0	0.0		
35.0	3	05H	1.0	0.0		
35.0	3	06H	1.0	0.0		
35.0	3	07H	1.0	0.0		
35.0	3	08H	1.0	0.0		
35.0	3	09H	1.0	0.0		
35.0	3	10H	1.0	0.0		
35.0	3	11H	1.0	0.0		
35.0	3	12H	1.0	0.0		
35.0	3	1G_1_07	0	0.0		
35.0	3	1G_2_08	0	0.0		
35.0	3	1G_3_08	0	0.0		
35.0	3	2G_1_08	0	0.0		
35.0	3	2G_2_09	0	0.0		
35.0	3	2G_3_09	0	0.0		
35.0	3	3G_1_09	0	0.0		
35.0	3	3G_2_10	0	0.0		
35.0	3	3G_3_10	0	0.0		
35.0	3	4G_1_10	0	0.0		
35.0	3	4G_2_11	0	0.0		
35.0	3	4G_3_11	0	0.0		
35.0	3	KG_1_06	1.0	0.0		
35.0	3	KG_2_07	1.0	0.0		
35.0	3	KG_3_07	1.0	0.0		
46.0	3	01H	1.0	0.0		
46.0	3	02H	1.0	0.0		
46.0	3	03H	1.0	0.0		
46.0	3	04H	1.0	0.0		
46.0	3	05H	1.0	0.0		
46.0	3	06H	1.0	0.0		
46.0	3	07H	1.0	0.0		
46.0	3	08H	1.0	0.0		
46.0	3	09H	1.0	0.0		
46.0	3	10H	1.0	0.0		
46.0	3	11H	1.0	0.0		
46.0	3	12H	1.0	0.0		
46.0	3	1G_1	0	0.0		
46.0	3	1G_2	0	0.0		
46.0	3	1G_3	0	0.0		
46.0	3	2G_1	0	0.0		
46.0	3	2G_2	0	0.0		
46.0	3	2G_3	0	0.0		
46.0	3	3G_1	0	0.0		
