_id	sex	edu	inc	proj	visit	ppvt	wj_wordid_w_score	gates_macginitie_ess
22	F	16	5	2	01H			
22				2	05H	50		
22				2	08H	81		
22				2	11H	84		
22				2	3G_1_09		525	
22				2	3G_1_09			504
22				2	4G_1_10		530	
22				2	4G_1_10			562
22				2	4G_3_11	160		
24	F	18	5	2	01H			
24				2	05H	43		
24				2	08H	77		
24				2	11H	88		
24				2	3G_1_09		514	
24				2	3G_1_09			524
24				2	4G_1_10		519	
24				2	4G_1_10			562
24				2	4G_3_11	158		
25	M	16	5	2	01H			
25				2	05H	10		
25				2	08H	45		
25				2	11H	66		
25				2	3G_1_09		464	
25				2	3G_1_09			438
25				2	4G_1_10		483	
25				2	4G_1_10			423
25				2	4G_3_11	168		
27	M	18	6	2	01H			
27				2	05H	28		
27				2	08H	62		
27				2	11H	96		
27				2	3G_1_09		516	
27				2	3G_1_09			472
27				2	4G_1_10		536	
27				2	4G_1_10			524
27				2	4G_3_11	154		
28	F	16	6	2	01H			
28				2	05H	18		
28				2	08H	45		
28				2	11H	56		
28				2	3G_1_10		470	
28				2	3G_1_10			462
28				2	4G_1_11		494	
28				2	4G_1_11			512
28				2	4G_3_12	145		
29	F	18	6	2	01H			
29				2	05H	37		
29				2	08H	65		
29				2	11H	82		
29				2	3G_1_09		497	
29				2	3G_1_09			504
29				2	4G_1_10		511	
29				2	4G_1_10			509
29				2	4G_3_11	138		
33	M	14	2	2	01H			
33				2	05H	15		
33				2	08H	36		
33				2	11H	52		
33				2	3G_1_09			
33				2	3G_1_09			
33				2	4G_1_10			
33				2	4G_1_10			
33				2	4G_3_11			
37	F	16	4	2	01H			
37				2	05H	29		
37				2	08H	52		
37				2	11H	82		
37				2	3G_1_09		506	
37				2	3G_1_09			489
37				2	4G_1_10		514	
37				2	4G_1_10			512
37				2	4G_3_11	147		
38	F	18	3	2	01H			
38				2	05H	40		
38				2	08H	78		
38				2	11H	78		
38				2	3G_1_09		480	
38				2	3G_1_09			504
38				2	4G_1_10		497	
38				2	4G_1_10			512
38				2	4G_3_11	147		
39	M	16	6	2	01H			
39				2	05H	34		
39				2	08H	59		
39				2	11H	91		
39				2	3G_1_09		511	
39				2	3G_1_09			468
39				2	4G_1_10		530	
39				2	4G_1_10			497
39				2	4G_3_11	150		
40	F	12	5	2	01H			
40				2	05H	34		
40				2	08H	68		
40				2	11H	101		
40				2	3G_1_09			
40				2	3G_1_09			
40				2	4G_1_10			
40				2	4G_1_10			
40				2	4G_3_11			
42	M	14	2	2	01H			
42				2	05H	14		
42				2	08H	39		
42				2	3G_1_09		497	
42				2	3G_1_09			442
42				2	4G_1_10		514	
42				2	4G_1_10			497
42				2	4G_3_11	148		
43	M	16	4	2	01H			
43				2	05H	38		
43				2	08H	87		
43				2	11H	107		
43				2	3G_1_10		514	
43				2	3G_1_10			504
43				2	4G_1_11		536	
43				2	4G_1_11			562
43				2	4G_3_12	176		
44	F	14	3	2	01H			
44				2	05H	12		
44				2	08H	40		
44				2	11H	44		
44				2	3G_1_09		480	
44				2	3G_1_09			431
44				2	4G_1_10		508	
44				2	4G_1_10			476
44				2	4G_3_11	148		
45	F	16	6	2	01H			
45				2	05H	36		
45				2	08H	57		
45				2	11H	76		
45				2	3G_1_09		514	
45				2	3G_1_09			499
45				2	4G_1_10		527	
45				2	4G_1_10			509
