SUBJECT	SESSION	ROW	SPEAKER	UTTERANCE
22	5	78	P	they're two colors, aren't they?
22	5	79	C	two.
22	5	277	C	two.
22	5	571	C	two!
22	5	658	P	where's the number two?
22	5	659	P	do you know two?
22	5	668	P	where's the number seven?
22	5	672	P	let's count the hands and then we'll find the number seven.
22	5	678	P	what's -- two.
22	5	678	C	two.
22	5	680	P	three.
22	5	680	C	three.
22	5	681	P	four.
22	5	681	C	four.
22	5	683	C	four.
22	5	684	P	what's after four?
22	5	685	C	three!
22	5	686	P	that's a three, right.
22	5	722	P	where's six?
22	5	723	P	### there's six.
22	5	724	C	oh, that's six.
22	5	726	P	here's the six.
22	5	732	P	where's seven?
22	5	740	P	where's ten?
22	5	742	P	one, two, three.
22	5	744	P	that's the ten.
22	5	751	C	nine?
22	5	752	P	yeah, but nine is here.
22	5	753	C	oh, nine is there.
22	5	799	C	number two.
22	5	800	C	where's two?
22	5	808	P	seven?
22	5	808	C	seven.
22	5	816	C	seven.
22	5	817	P	six.
22	5	818	C	six.
22	5	820	C	seven.
22	5	821	P	seven is a red number.
22	5	822	P	see if you can find a red number seven.
22	5	831	C	three!
22	5	833	P	where's three?
22	5	833	C	I have three.
22	5	834	P	one, two.
22	5	836	P	what comes after two?
22	5	843	C	two?
22	5	844	P	where's two?
22	5	846	C	two!
22	5	849	P	one, two, three, four, five, six, seven
22	5	849	C	two, three, four, -- six, seven
22	5	850	C	eight
22	5	851	P	nine
22	5	852	C	ten.
22	5	854	C	is this ten?
22	5	860	P	they asked for two.
22	5	862	C	two, two, two!
22	5	868	C	eight.
22	5	869	P	want to go find eight?
22	5	872	P	go one, two, three, four, five, six, seven.
22	5	879	C	ten?
22	5	880	P	where's ten?
22	5	882	C	ten!
22	5	888	P	ten's on the bottom.
22	5	903	C	six.
22	5	904	P	number six.
22	5	905	C	um -- where's six?
22	5	910	C	six.
22	5	917	P	can you find ten again?
22	5	918	C	ten again?
22	5	919	P	where was ten?
22	5	920	C	those are tens.
22	5	921	P	that was ten.
22	5	922	P	you pushed ten.
22	5	930	C	seven?
22	5	1025	C	seven oh ###.
22	5	1026	C	two.
22	5	1044	P	I think you're supposed to put three different batteries in that ###.
22	5	1077	C	three.
22	5	1081	C	two.
22	5	1082	P	one, two.
22	5	1083	C	three, four!
22	5	1085	P	one, two, --
22	5	1089	P	one, two, --
22	5	1093	P	here's three.
22	5	1100	P	where's four?
22	5	1101	P	three's after four.
22	5	1102	P	I mean four's after three.
22	5	1111	C	seven.
22	5	1112	P	that's eight.
22	5	1113	P	seven is right before it.
22	5	1114	P	seven is a red number.
22	5	1128	P	number eight is a yellow number.
22	5	1145	C	two?
22	5	1146	C	three.
22	5	1147	P	three's a blue number.
22	5	1745	C	this is a ### and trees and ### color -- two trees!
22	5	1748	C	one, two, three, four.
22	5	1755	P	there's four big ones.
22	5	1767	P	four big trees and some little ones behind it?
22	5	1800	C	two giants.
22	5	1801	C	two policemans.
22	5	1802	P	two policemen and two giants altogether?
22	5	1859	C	one, two ###.
22	5	1864	C	two policemans.
22	5	1887	C	only two policemans.
22	5	1924	C	one, two, ###!
22	5	1940	C	one, two.
22	5	1941	C	one, two.
22	5	1942	P	one, two.
22	5	1943	P	three, four.
22	5	1944	C	two, two, two.
22	5	1945	C	two, two, two.
22	5	1946	P	three, three, three.
22	5	1947	P	four, four, four.
22	5	1948	C	### two.
22	5	1950	P	five, six, seven.
22	5	1997	P	can you count to ten?
22	5	2018	P	I'm going to count to ten.
22	5	2020	P	can you count to ten?
22	5	2035	C	there's one and ### two.
22	5	2039	C	two here.
22	5	2042	C	### two.
22	5	2071	P	two.
22	5	2071	C	two.
22	5	2072	C	three!
22	5	2073	P	three.
22	5	2074	C	four.
22	5	2180	P	three.
22	5	2180	C	two.
22	5	2181	C	three.
22	5	2229	P	there's eight sides, isn't there?
22	5	2246	P	if the -- the octagon has eight sides.
22	5	2247	P	then the octopus has eight --
22	5	2249	C	nines,
22	5	2251	P	eight arms?
22	5	2253	C	eight arms.
22	6	129	C	" -- four more -- "
22	6	130	P	" -- four feet."
22	6	241	P	give me five!
22	6	596	P	two.
22	6	634	P	it says ages three and up.
22	6	635	P	you're not three yet but we'll let you try, ok?
22	6	1160	P	see, everything is twos.
22	6	1161	P	did you know Noah brought all of the animals in two by two.
22	6	1162	C	two.
22	6	1196	C	these are two bats.
22	6	1197	C	yeah, there's two bats.
22	6	1524	P	"baby elephants drink their Mother's milk until they're about two years old."
22	6	1527	P	"when they are about four months old, they being to eat some plants too."
22	6	1718	P	where's the number seven?
22	6	1722	P	where's four?
22	6	1723	P	touch four.
22	6	1729	P	where's number four?
22	6	1730	P	touch four.
22	6	1731	P	where's number four?
22	6	1732	P	touch four.
22	6	1737	P	two.
22	6	1737	C	two.
22	6	1738	C	three.
22	6	1741	P	two.
22	6	1741	C	two.
22	6	1742	P	three.
22	6	1742	C	three.
22	6	1745	C	one, two.
22	6	1748	C	six.
22	6	1750	C	eight.
22	6	1753	P	where's the number nine?
22	6	1760	P	where's the number five?
22	6	1761	P	look for the five.
22	6	1762	C	five.
22	6	1764	P	uh that's not a five.
22	6	1765	P	that's a nine.
22	6	1767	P	look for the number five.
22	6	1768	P	where's five?
22	6	1769	P	you know five.
22	6	1772	P	give me five.
22	6	1780	P	where's four?
22	6	1785	P	no, where's four?
22	6	1787	P	one, two, three --
22	6	1787	C	-- two, three, four.
22	6	1789	C	nine.
22	6	1790	P	touch four now.
22	6	1791	P	touch four.
22	6	1794	C	four.
22	6	1802	P	what number four again.
22	6	1803	P	where's four?
22	6	1804	C	four.
22	6	1815	P	where's five?
22	6	1815	C	five.
22	6	1816	C	five.
22	6	1819	C	four
22	6	1822	P	where's five?
22	6	1824	C	five.
22	6	1827	P	where's the number five?
22	6	1829	P	you know five.
22	6	1830	P	where's five?
