SUBJECT	SESSION	TIME	UTTERANCE	MATCHES	MATCHED	CONTEXT
24	4	00:00:00	you did that on purpose.	1	on	
24	4	00:00:00	what did you do with her?	1	with	
24	4	00:00:00	is girl in here?	1	in	
24	4	00:00:00	oh don't throw him away.	1	away	
24	4	00:00:00	she's not in there.	1	in	
24	4	00:00:00	she's not in there.	1	in	
24	4	00:00:00	here, you can play with this.	1	with	
24	5	00:09:00	is that all of them?	1	all	
24	5	00:09:00	should be some more in your box.	2	some, in	
24	5	00:10:21	I did it on accident.	1	on	
24	5	00:12:06	how about q@l?	1	about	
24	5	00:12:24	quarter.	1	quarter	
24	5	00:12:25	quarter.	1	quarter	
24	5	00:13:11	fall down.	1	down	
24	5	00:13:43	remember how all the letters fell out of the tree?	2	all, out	
24	5	00:13:43	yeah, all the letters fell out of the tree.	2	all, out	M and C talking simultaneously.
24	5	00:14:27	outside?	1	outside	
24	5	00:15:00	airplane has two words, -- jet and airplane -- and plane.	1	plane	
24	5	00:15:01	how about c@l?	1	about	
24	5	00:15:23	anymore letters in here?	1	in	
24	5	00:16:31	how about d@l?	1	about	
24	5	00:17:09	slam, right?	1	right	
24	5	00:17:15	what you working on?	1	on	
24	5	00:17:58	that's like in Elmo.	1	in	
24	5	00:18:13	I heard about it.	1	about	
24	5	00:18:13	get your hand out of your pants!	1	out	
24	5	00:08:28	you had some spaghetti.	1	some	
24	5	00:08:28	some ghettis?	1	some	
24	5	00:08:47	ok, tell me what kind of fruit you had first.	1	first	
24	5	00:08:47	did you eat it all up?	2	all, up	
24	5	00:08:47	Mabel ate her orange all up.	2	all, up	
24	5	00:08:47	Zoe didn't eat her orange all up?	2	all, up	
24	5	00:08:47	come over here and get these ornaments for mommy.	1	over	
24	5	00:08:47	we have to put it up.	1	up	
24	5	00:08:47	come on.	1	on	
24	5	00:12:09	right.	1	right	
24	5	00:12:09	good enough.	1	enough	
24	5	00:13:18	so if you put t@l -- and u@l together, what sound does that make?	1	together	
24	5	00:13:30	so that one's going in front?	2	in, front	
24	5	00:13:30	right.	1	right	M and C talking simultaneously.
24	5	00:13:30	you putting it in front?	2	in, front	M and D talking simultaneously.
24	5	00:13:30	you see how you're putting it in the front?	2	in, front	
24	5	00:13:30	ok, so is that the front?	1	front	
24	5	00:13:30	that's the front part?	2	front, part	
24	5	00:13:30	yep, it's the front.	1	front	
24	5	00:13:30	what side is that?	1	side	
24	5	00:13:30	is that the front or the back?	2	front, back	
24	5	00:13:30	where's the back?	1	back	
24	5	00:13:30	those aren't the right letters!	1	right	
24	5	00:15:21	what's cow start with?	1	with	
24	5	00:15:21	what letter does it start with?	1	with	
24	5	00:15:21	it's right there.	1	right	
24	5	00:15:21	right.	1	right	
24	5	00:15:21	think outside the block.	1	outside	
24	5	00:15:21	on there?	1	on	D and C talking simultaneously.
24	5	00:15:21	close, close.	2	close, close	M and D talking simultaneously.
24	5	00:15:21	close.	1	close	
24	5	00:15:21	put this together.	1	together	
27	5	00:28:43	you want some more?	1	some	
27	5	00:28:43	want some more out?	2	some, out	
27	5	00:29:34	should we build a big building?	1	big	
27	5	00:29:34	up!	1	up	
27	5	00:29:34	it's fell down.	1	down	
27	5	00:30:12	look out.	1	out	
27	5	00:30:14	oh, I think there are some more green ones.	1	some	
27	5	00:30:43	they're going outside.	1	outside	
27	5	00:30:46	it's cold outside, isn't it?	1	outside	
27	5	00:30:49	yup, they have jackets on.	1	on	
27	5	00:30:49	jackets on?	1	on	
27	5	00:30:59	dad's jacket on.	1	on	
27	5	00:31:01	I don't know if that's going to stay there on the end, but we can try.	1	on	
27	5	00:31:05	looks pretty -- like a -- a diving board -- into a swimming pool.	1	into	
27	5	00:31:11	yeah, looks like a dinosaur head.	1	head	
27	5	00:31:15	we can put it -- put it right here and then we can build the rest of its body.	1	right	
27	5	00:31:15	oh, let's turn him around so that it looks like he has a beak.	2	turn, around	
27	5	00:31:25	should we put some more out like this and then it looks like he has wings.	2	some, out	
27	5	00:31:41	yeah, they went outside.	1	outside	
27	5	00:31:54	up, they're kind of --	1	up	
27	5	00:31:54	are they the same size?	1	size	
27	5	00:31:57	one's a little lower.	2	little, lower	
27	5	00:31:57	then we'll make them equal height.	1	height	
27	5	00:31:57	should we -- do you want to have wings on the back?	2	on, back	
27	5	00:31:57	up, it's ### shorter.	2	up, shorter	
27	5	00:31:57	guess we're going to have to put this one up here.	1	up	
27	5	00:32:31	look at the wings on the back.	2	on, back	
27	5	00:32:53	its got a big long name, though.	2	big, long	
27	5	00:33:10	you could build an arm out here.	1	out	
27	5	00:33:17	how about we build um -- some horns.	2	about, some	
27	5	00:33:17	fell down.	1	down	
27	5	00:33:17	I'll build some horns on our dinosaur.	2	some, on	
27	5	00:33:43	all gone, yeah.	1	all	
27	5	00:33:43	the horns are all gone.	1	all	
27	5	00:34:01	no+no, we're not going to go outside.	1	outside	
27	5	00:34:01	should we build -- one single tall tower?	1	tall	
27	5	00:34:01	we didn't get very far.	1	far	
27	5	00:34:20	up, we got to build it up.	2	up, up	
27	5	00:34:20	up, up, up.	3	up, up, up	
27	5	00:34:25	find some more yellows.	1	some	
27	5	00:34:25	I need some more red.	1	some	
27	5	00:34:25	ok, how about -- I see some more yellows.	2	about, some	
27	5	00:34:25	can you build it tall?	1	tall	
27	5	00:35:20	the man has to come back.	1	back	
27	5	00:35:56	a big what?	1	big	
27	5	00:35:57	it was a dinosaur, and then it fell over, right?	2	over, right	M  and C responding to F.
27	5	00:35:57	here's his head.	1	head	
27	5	00:35:57	oh, we're going to put it on the back.	2	on, back	
27	5	00:36:25	we better move this over here, I think.	1	over	
27	5	00:36:40	a little bit wobble ###.	2	little, bit	
27	5	00:36:40	mom's going to put some red ones.	1	some	
27	5	00:36:52	### there are a lot of yellows.	1	lot	
27	5	00:37:02	I see one over there.	1	over	
27	5	00:37:03	see him right by your foot.	2	right, by	
27	5	00:37:03	very tall, isn't it?	1	tall	
27	5	00:37:03	almost as tall as you.	1	tall	
27	5	00:37:29	there's one over there.	1	over	
27	5	00:37:29	there's a lot of yellows left!	2	lot, left	
27	5	00:37:40	there's another yellow in there.	1	in	
27	5	00:37:40	right -- kind of by your foot.	2	right, by	
27	5	00:37:40	you see it by your foot?	1	by	
27	5	00:37:51	over here.	1	over	
27	5	00:37:52	look in the yellows.	1	in	
27	5	00:37:56	right here.	1	right	
27	5	00:37:58	right there!	1	right	
27	5	00:38:01	right there.	1	right	
27	5	00:38:03	right here, silly.	1	right	
27	5	00:38:03	I'll hold it while you build it up.	1	up	
27	5	00:38:25	right.	1	right	
27	5	00:38:25	put some more on top!	3	some, on, top	
27	5	00:38:25	you show Jana how big it is?	1	big	
27	5	00:38:25	very big tower.	1	big	
27	5	00:38:25	I have some more yellows if you would like them.	1	some	
27	5	00:38:25	you going to make circles?	1	circles	
27	5	00:38:25	the Wiggles make circles?	1	circles	
27	5	00:38:25	they dance in circles, don't they?	2	in, circles	
27	5	00:38:25	yeah, because the man didn't have a very tall enough ladder.	2	tall, enough	
27	5	00:38:25	the ladder was not tall enough to come up here -- so -- we can't do it.	3	tall, enough, up	
27	5	00:38:25	some day.	1	some	
27	5	00:38:25	you making a line?	1	line	
27	5	00:40:32	you're hiding them all?	1	all	
27	5	00:40:32	don't throw them all back there.	2	all, back	
27	5	00:28:45	can I blow some?	1	some	
27	5	00:28:50	it's flying around.	1	around	
27	5	00:28:50	oh, it's all gone?	1	all	
27	5	00:29:02	oh, are you -- throwing it back to me?	1	back	
27	5	00:29:06	a balloon on the ground now?	1	on	
27	5	00:29:12	what next?	1	next	
27	5	00:29:25	I got to tie it up.	1	up	
27	5	00:29:28	put it down with the rest of them.	2	down, with	
27	5	00:29:28	how about -- a red balloon?	1	about	
27	5	00:29:28	let's tie it up.	1	up	
27	5	00:29:28	Nicholas, be gentle with him, please.	1	with	
27	5	00:29:28	ok, you want to play with the farm?	1	with	
27	6	00:25:01	put that on the bottom.	2	on, bottom	
27	6	00:25:01	got to figure out how I'm going to make the mountain.	1	out	
27	6	00:25:01	oh, they don't stick on at angles.	2	on, angles	
27	6	00:26:10	maybe that's what we'll do first.	1	first	
27	6	00:26:13	build a tall mountain and then we'll build a smaller one behind it.	3	tall, smaller, behind	
27	6	00:26:56	there's probably a car in your garage.	1	in	M and C talking simultaneously.
27	6	00:26:56	did they drive up the mountain or around the mountain?	2	up, around	
27	6	00:26:56	up the mountain.	1	up	
27	6	00:26:56	or down the mountain, ok.	1	down	
27	6	00:27:32	on Dora?	1	on	
27	6	00:27:54	look I'm building the back of the mountain over here.	2	back, over	
27	6	00:27:54	can you ### in the back?	2	in, back	
27	6	00:28:27	this is the back of the mountain.	1	back	
27	6	00:28:27	put that right here.	1	right	
27	6	00:28:27	these might all fall because they're not connected.	1	all	
27	6	00:29:07	we're building the back of the mountain so we can climb up this way too.	2	back, up	
27	6	00:29:07	right?	1	right	
27	6	00:29:07	put that in here.	1	in	
27	6	00:29:13	you just build it up and up and up.	3	up, up, up	
27	6	00:29:13	the mountain might have a hole in the middle.	2	in, middle	
27	6	00:29:23	right?	1	right	
27	6	00:29:29	that's like -- the hole like a crater in a volcano.	1	in	
27	6	00:29:34	except for the inside.	1	inside	
27	6	00:29:50	wow, look at that side.	1	side	
27	6	00:29:53	there's a lot of cliffs over here.	2	lot, over	
27	6	00:29:55	want to fill in the mountain?	1	in	
27	6	00:30:01	you don't want -- you don't want the hole in the middle?	2	in, middle	
27	6	00:30:05	ok, then we have to fill it all in.	2	all, in	
27	6	00:30:05	let's take this piece off.	1	piece	
27	6	00:30:05	fill it all in.	2	all, in	
27	6	00:30:14	get some of the -- get some of the blocks with four.	3	some, some, with	
27	6	00:30:20	and then we'll put that on the bottom.	2	on, bottom	
27	6	00:30:21	can you get some more?	1	some	
27	6	00:30:28	there's a red one and a yellow one over there.	1	over	
27	6	00:30:28	yeah, we're going to fill it in.	1	in	
27	6	00:30:56	what is -- what do they do with marshmallows?	1	with	
27	6	00:31:12	fix -- they did tricks with marshmallows?	1	with	
27	6	00:31:17	get -- oh, do lots of colors with marshmallows?	1	with	
27	6	00:31:23	how about get some more with four?	3	about, some, with	
27	6	00:31:23	and we'll fill in our mountain ###	1	in	
27	6	00:31:23	you need some more blocks then too on your way back.	3	some, on, back	
27	6	00:31:23	which one's going up Muddy_Mountain?	1	up	
27	6	00:31:23	you got to get some more of the four blocks.	1	some	
27	6	00:31:23	can you get the one with four?	1	with	
27	6	00:32:41	you want put it on the top?	2	on, top	
27	6	00:32:41	the sides to our mountain fell.	1	sides	
27	6	00:32:41	hang on.	1	on	
27	6	00:33:06	do you want to knock it over?	1	over	
27	6	00:33:06	ok, well we have some walls to our house.	1	some	
27	6	00:33:06	how about that?	1	about	
27	6	00:33:06	that -- aw, this one's not long enough.	2	long, enough	
27	6	00:34:03	can you put some in here.	2	some, in	
27	6	00:34:04	put the single ones in here.	1	in	
27	6	00:34:17	we better make a door in this wall.	1	in	
27	6	00:34:17	think we need some of these.	1	some	
27	6	00:34:17	yeah, that's the inside of the house.	1	inside	
27	6	00:34:17	I think you're too big for the house.	1	big	
27	6	00:34:42	maybe your little man can go in the house.	2	little, in	
27	6	00:34:45	these don't want to stay up.	1	up	
27	6	00:34:45	let's put it on some other pieces.	3	on, some, pieces	
27	6	00:34:45	oh, he might be too fat to get in the door.	2	fat, in	
27	6	00:34:45	it's not wide enough.	2	wide, enough	
27	6	00:34:45	you want -- ###, I'll make it wider.	1	wider	
27	6	00:34:45	hold on.	1	on	
27	6	00:34:45	we'll make it wider so he can go in.	2	wider, in	
27	6	00:34:45	hold on.	1	on	
27	6	00:34:45	I've got to -- build it up over here then.	2	up, over	
27	6	00:34:45	then you know what I need is a -- one with four.	1	with	M and C talking simultaneously.
27	6	00:34:45	so he can fit in there.	1	in	
