Subject	Session	Start	Finish
24	4	0:00:00	0:02:18
24	5	1:11:59	1:20:56
24	5	0:08:20	0:18:17
27	5	0:28:28	0:41:39
27	6	0:24:18	0:52:50
29	4	0:00:00	0:04:24
40	4	0:00:00	0:01:41
40	5	0:00:00	0:13:38
40	7	0:45:15	0:53:08
40	8	0:11:27	0:23:45
40	8	0:36:43	0:38:02
43	6	0:33:53	0:41:44
45	4	0:34:17	0:35:46
45	4	0:41:38	0:44:57
45	5	0:00:03	0:08:41
48	8	0:08:00	0:19:46
48	9	0:37:52	0:43:28
48	9	0:57:40	1:17:16
49	8	0:05:24	0:24:31
50	6	0:00:00	0:01:50
50	6	1:02:30	1:12:12
54	7	0:33:27	0:40:03
54	7	0:54:08	1:08:48
59	6	0:00:00	0:28:00
59	6	0:36:35	0:37:08
61	5	1:12:48	1:27:58
65	7	0:53:12	1:03:40
65	7	1:23:55	1:28:47
72	4	0:57:16	1:19:20
72	4	0:15:09	0:16:32
72	5	0:25:59	0:35:15
72	7	0:35:50	1:13:18
72	8	1:04:14	1:09:12
72	8	1:20:27	1:22:49
73	6	0:02:33	0:14:48
74	4	1:06:27	1:09:35
74	5	0:57:30	1:02:17
74	6	0:36:56	0:48:13
75	4	1:10:25	1:30:00
75	8	0:37:17	0:52:29
79	4	0:26:26	0:31:08
79	4	0:34:14	0:44:06
79	5	0:15:41	0:22:39
79	6	0:10:50	0:30:22
79	6	0:32:43	0:34:07
80	9	0:04:58	0:16:05
83	6	0:08:40	0:13:01
84	8	1:09:02	1:14:38
84	8	1:18:51	1:27:38
85	4	0:07:08	0:26:11
85	4	0:45:28	0:51:59
85	9	0:01:09	0:15:02
85	9	0:32:05	0:37:40
87	8	0:51:35	0:52:47
88	7	0:05:31	0:08:00
89	6	0:18:50	0:21:01
89	6	0:21:37	0:22:38
91	4	0:01:36	0:03:36
91	4	0:04:21	0:05:17
92	8	1:03:55	1:10:10
100	7	0:30:49	0:45:05
100	7	0:48:50	0:50:00
100	8	0:08:02	0:23:55
100	8	1:04:49	1:07:45
100	9	1:00:00	1:21:41
103	5	0:34:18	1:30:00
103	8	0:31:25	0:35:58
105	5	0:38:52	0:46:54
107	4	0:00:00	0:02:07
107	6	0:28:48	0:46:26
107	6	0:58:13	1:00:00
109	5	0:04:57	0:31:54
126	8	0:01:43	0:26:13
126	8	1:03:29	1:08:33
127	4	0:05:13	0:16:34
