subj	sess	spkr	UTT	TOK	TYP	MLU
22	8	P	826	4057	662	4.91162227603
22	8	C	690	2307	344	3.34347826087
22	9	P	1138	5468	584	4.80492091388
22	9	C	841	2810	436	3.34126040428
24	8	P	1482	6725	639	4.53778677463
24	8	C	1060	3316	421	3.12830188679
24	9	P	1383	6302	568	4.55676066522
24	9	C	997	3868	481	3.87963891675
25	8	P	1770	6627	593	3.74406779661
25	8	C	1554	4260	363	2.74131274131
25	9	P	1546	6777	542	4.38357050453
25	9	C	1497	4771	349	3.18704074816
27	8	P	1713	6610	617	3.85872737887
27	8	C	742	1674	292	2.25606469003
27	9	P	2232	8138	722	3.64605734767
27	9	C	1102	2792	388	2.5335753176
28	8	P	720	3603	507	5.00416666667
28	8	C	623	1956	260	3.13964686998
28	9	P	527	2153	410	4.08538899431
28	9	C	760	2383	320	3.13552631579
29	8	P	1436	5670	543	3.94846796657
29	8	C	886	3471	376	3.91760722348
29	9	P	1190	4984	587	4.18823529412
29	9	C	1093	4650	493	4.25434583715
33	8	P	440	2083	373	4.73409090909
33	8	C	455	1744	290	3.83296703297
33	9	P	169	768	208	4.54437869822
33	9	C	402	1494	272	3.71641791045
37	8	P	239	1199	266	5.01673640167
37	8	C	557	1797	315	3.22621184919
37	9	P	1007	3975	453	3.94736842105
37	9	C	302	779	203	2.57947019868
38	8	P	413	2010	346	4.86682808717
38	8	C	520	1881	307	3.61730769231
38	9	P	1117	4830	626	4.32408236347
38	9	C	809	3020	398	3.73300370828
39	8	P	969	3643	439	3.75954592363
39	8	C	757	2462	312	3.25231175694
39	9	P	143	647	183	4.52447552448
39	9	C	1078	3914	444	3.63079777365
40	8	P	280	1132	248	4.04285714286
40	8	C	952	2791	385	2.93172268908
40	9	P	152	678	203	4.46052631579
40	9	C	736	2400	379	3.26086956522
42	8	P	616	2701	406	4.38474025974
42	8	C	480	1452	260	3.025
42	9	P	514	2344	420	4.56031128405
42	9	C	657	2198	327	3.34550989346
43	8	P	605	2739	431	4.52727272727
43	8	C	483	2047	313	4.2380952381
43	9	P	345	1715	340	4.97101449275
43	9	C	448	2206	344	4.92410714286
44	8	P	197	822	206	4.17258883249
44	8	C	662	2583	372	3.90181268882
44	9	P	46	214	105	4.65217391304
44	9	C	1105	4540	470	4.10859728507
45	8	P	1021	4376	587	4.28599412341
45	8	C	953	3585	468	3.76180482686
45	9	P	448	2289	412	5.109375
45	9	C	468	1823	291	3.8952991453
47	8	P	1097	5276	516	4.80948040109
47	8	C	719	2078	316	2.89012517385
47	9	P	465	2351	367	5.05591397849
47	9	C	687	2317	306	3.37263464338
48	8	P	1862	7165	618	3.84801288937
48	8	C	808	2539	353	3.14232673267
48	9	P	1760	6991	613	3.97215909091
48	9	C	928	3135	349	3.37823275862
49	8	P	1835	9071	853	4.94332425068
49	8	C	667	2121	367	3.17991004498
49	9	P	1473	6518	709	4.42498302783
49	9	C	1003	3168	411	3.15852442672
50	8	P	769	3566	467	4.63719115735
