id	subject	session	row	time	key	p_utts	p_form	p_lrb	p_obj	p_gloss	p_orient	p_mspd	p_g_type	p_gs_rel
10220100451	22	1	451		*	millions!	iconic	B		big	H=H	M opens arms representing big size	R.a	ADD.a
10220100755	22	1	755	00:44:37		---	iconic	L		moving (metronome needle)	H=O	M moves raised index finger left and right repeatedly like a pendulum	R.m	X
10220100804	22	1	804	00:48:35		Tic, toc, tic toc.	iconic	L		moving (metronome needle)	H=O	M moves raised index finger left and right repeatedly like a pendulum	R.m	ADD.p
10220100927	22	1	927	00:57:39		right!	iconic	R		moving (metronome needle)	H=O	M moves raised index finger left and right repeatedly like a pendulum	R.m	ADD.p
10220101110	22	1	1110	00:10:50		turn around to go down.	iconic	L		(turning) around	tracepath	M makes a curved finger motion	R.d	RF.d
10220101217	22	1	1217	00:30:48			iconic	L		fanning	H=H	M moves palm up and down as if fanning the mug	R.m	X
10220101235	22	1	1235		*	that helmet is so loose that if you fell it would do nothing to protect you.	iconic	B		moving (helmet)	H=O	M places side palms in air about a foot apart and moves palms up and down to represent moving helmet	R.m	ADD.p
10220200636	22	2	636	00:18:36		they're making drums.	iconic	L		drumming	H=H	M makes drumming motion on her leg	R.m	ADD.p
10220200970	22	2	970	00:34:16		want to get a car and drive it on the track?	Point-iconic	L.L	car. Curved track	car. Track's shape	traceshape	M traces an arc outlining the curve of the track	DP;R.a	RF;ELAB.a
10220201466	22	2	1466	00:06:01		Buzz.	Iconic	L		flying	H=O	M swirls hand in circles as if it is a bee flying	R.m	ADD.p
10220201478	22	2	1478	00:06:23		what does the bee say?	iconic	R		flying	H=O	M swirls hand in circles as if it is a bee flying	R.m	ADD.p
10220300506	22	3	506	00:17:10		do fishies -- what do fishies do?	Iconic	WB		Swimming	B=O	M moves arms outwards and inwards in swimming stroke	R.m	ADD.p
10220300507	22	3	507			do they swim?	Iconic~	WB		Swimming	B=O	M moves arms outwards and inwards in swimming stroke	R.m	RF.p
10220300512	22	3	512	00:17:22		what do you sing when you're swimming?	Iconic	WB		Swimming	B=B	M moves arms outwards and inwards in swimming stroke	R.m	RF.p
10220400402	22	4	402	00:11:39		a mosquito went bzz. Zoop	iconic.iconic	L.L		flying. Landing	H=O.H=O	M moves pinched fingers in air as if it is a mosquito flying. M's pinched fingers lands on C's leg	R.m;R.m	ADD.p;ADD.p
10220400403	22	4	403	00:11:40		and said you're so you're sweet.	iconic~	L		biting	H=O	M holds closed palm on several parts of C's body and wiggles fingers to mimic a mosquito biting C	R.m	ADD.p
10220400404	22	4	404			I want to eat you.	iconic~	L		biting	H=O	M holds closed palm on several parts of C's body and wiggles fingers to mimic a mosquito biting C	R.m	ADD.p
10220400778	22	4	778	00:22:29		what are they doing in the forest?	Point. Iconic	L.L	Forest in book	Forest. Stumbling	Touch. H=B	.M places palm over forest scene and wiggles her finger to represent characters in book stumbling through the forest	DP;R.m	RF;ADD.p
10220400790	22	4	790	00:22:39		ah!	iconic	WB		falling	B=B	M leans body forward and extends both arms as if falling	R.m	ADD.p
10220400923	22	4	923	00:26:29		the wind hitting the door.	iconic			moving (door)	H=O	M moves side palm back and forth to mimic the action of the door	R.m	ADD.p
10220401000	22	4	1000	00:28:30		it's a little thin puzzle.	iconic	R		thin	H=O	M holds index finger slightly apart from thumb to represent thin	R.a	RF.a
10220401360	22	4	1360	00:40:48		they put out fires with water.	Iconic	B		spraying	H=H	M moves a fist shaped hand and moves it sideways as if spraying water with hose	R.m	ADD.p
10220401361	22	4	1361			Shhhhhh	Iconic~	R		spraying	H=H	M moves a fist shaped hand and moves it sideways as if spraying water with hose	R.m	ADD.p
10220401497	22	4	1497	00:46:04		where the frog's tongue comes out and goes slurp!	Iconic	L		moving (frog tongue)	H=O	M quickly exends and retracts her hand whild pointing index finger to mimic slurping motion of frog tongue	R.m	RF.p
10220401972	22	4	1972	00:03:01		I forgot it.	iconic	L		thinking	B=B	M places index finger on her chin	R.m	ADD.p
10220402364	22	4	2364	00:19:29		so she can put her camera on top of it.	Iconic	R		placing	H=H	M moves a semi-closed hand downward as if she is placing a camera on some place	R.m	RF.p
10220500216	22	5	216	00:07:00		what do balloons when -- you -- stick them with a pin?	iconic	R		sticking	H=H	M brings closed hand forward forcefully to represent sticking a balloon with a pin	R.m	RF.p
