_ID	STORY	DELIMS	TOKENS	TYPES
100	A	9	54	28
100	B	6	36	23
101	A	5	42	22
101	B	6	27	16
102	A	8	48	30
102	B	14	82	46
103	A	7	51	25
103	B	10	63	38
104	A	6	33	23
104	B	15	83	37
105	A	6	36	21
105	B	7	38	20
106	A	6	33	14
106	B	6	43	22
107	A	7	35	14
107	B	6	42	27
108	A	11	60	32
108	B	16	89	39
109	A	0	4	1
109	B	13	70	34
110	A	6	30	21
110	B	17	87	35
111	A	7	43	21
111	B	14	77	36
112	A	15	69	44
112	B	10	68	36
113	A	9	41	20
113	B	10	65	29
114	A	8	44	26
114	B	15	88	49
115	A	4	14	9
115	B	9	48	26
116	A	11	55	25
116	B	20	100	38
117	A	12	66	37
117	B	11	52	28
118	A	8	36	25
118	B	8	34	22
119	A	8	32	18
119	B	7	40	22
150	A	8	40	20
150	B	7	53	30
151	A	13	65	37
151	B	12	82	40
152	A	7	46	32
152	B	7	40	21
153	A	7	39	22
153	B	8	46	25
154	A	7	33	20
154	B	12	71	34
155	A	5	24	14
155	B	7	38	24
156	A	2	8	6
156	B	0	0	0
157	A	5	45	25
157	B	7	47	22
158	A	10	47	25
158	B	4	40	16
159	A	6	26	15
159	B	6	31	22
160	A	8	48	22
160	B	17	72	42
161	A	10	49	24
161	B	10	53	35
162	A	8	45	23
162	B	7	41	28
163	A	5	35	22
163	B	8	41	26
164	A	14	67	32
164	B	7	28	16
165	A	0	0	0
166	A	6	35	21
166	B	10	63	33
167	A	17	123	49
167	B	21	121	56
168	A	9	62	34
168	B	13	73	41
169	A	6	35	23
169	B	9	45	30
170	A	14	65	30
170	B	9	52	32
171	A	3	37	16
171	B	6	44	28
172	A	10	65	29
172	B	14	82	44
173	A	6	32	20
173	B	8	36	21
174	A	14	69	28
174	B	7	21	13
175	A	14	64	29
175	B	5	27	13
176	A	6	26	16
176	B	7	48	29
177	A	5	34	21
177	B	8	42	28
178	A	8	33	23
178	B	7	39	23
179	A	15	84	41
179	B	13	72	32
180	A	0	0	0
180	B	7	46	22
181	A	0	0	0
181	B	7	38	18
182	A	6	30	17
182	B	7	45	28
183	A	6	38	22
183	B	5	25	16
184	A	5	27	12
184	B	3	18	13
185	A	9	45	26
185	B	10	60	24
186	A	10	35	19
186	B	10	48	29
187	A	4	34	16
187	B	5	49	30
188	A	6	26	17
188	B	8	44	25
200	A	7	32	18
200	B	4	25	20
201	A	0	12	4
201	B	3	14	11
202	A	6	31	22
202	B	11	58	31
204	A	16	86	45
204	B	10	58	26
205	A	11	77	34
205	B	12	90	40
206	A	6	27	18
206	B	14	56	33
207	A	15	64	25
207	B	2	36	17
210	A	1	8	7
210	B	0	7	5
211	A	4	15	10
211	B	5	18	16
212	A	20	93	35
212	B	25	109	46
213	A	9	67	35
214	A	6	32	17
215	A	10	49	23
215	B	9	48	31
216	A	11	52	34
216	B	6	31	21
217	A	0	2	2
217	B	0	17	5
218	A	8	52	27
220	A	8	34	17
220	B	6	25	19
221	A	6	22	12
221	B	6	36	10
222	A	0	10	7
222	B	0	0	0
223	A	0	0	0
223	B	0	0	0
224	A	7	34	22
224	B	7	31	22
225	A	4	21	13
225	B	8	32	19
226	A	24	120	44
226	B	8	42	19
227	A	7	42	24
227	B	9	48	29
228	A	3	13	12
228	B	0	12	9
230	A	0	0	0
230	B	6	24	11
231	A	8	46	28
231	B	6	35	12
233	A	6	45	18
233	B	0	5	1
235	A	8	37	21
235	B	4	20	10
236	A	2	23	11
236	B	0	1	1
237	A	6	35	19
237	B	1	11	9
238	A	12	41	19
238	B	1	5	5
239	A	0	9	3
239	B	0	0	0
242	A	0	8	2
242	B	4	17	15
250	A	11	56	28
250	B	12	68	37
251	A	0	0	0
251	B	12	56	27
252	A	6	22	13
253	A	12	58	27
253	B	7	40	19
254	A	3	15	12
254	B	6	23	18
255	A	7	29	18
255	B	11	58	38
256	A	7	29	13
256	B	4	24	10
257	A	11	62	26
257	B	8	37	23
258	A	7	25	14
258	B	13	57	25
259	A	9	45	24
259	B	12	80	43
260	A	9	41	24
260	B	8	42	27
261	A	2	13	11
261	B	15	60	29
270	A	4	22	13
270	B	6	34	22
271	A	0	0	0
272	A	6	30	18
272	B	5	21	14
273	A	7	40	17
273	B	5	31	17
274	A	6	46	21
274	B	9	49	26
275	A	11	50	29
275	B	11	55	34
276	A	18	103	42
277	A	8	48	32
277	B	10	58	33
278	A	5	27	16
278	B	2	18	10
279	A	9	53	27
279	B	11	62	38
280	A	6	39	20
281	A	5	23	17
281	B	8	41	24
282	A	0	0	0
282	B	5	29	24
290	A	4	24	15
290	B	6	28	16
291	A	5	23	15
291	B	8	32	17
292	A	9	48	28
292	B	9	51	26
293	A	4	17	12
293	B	4	23	17
294	A	2	9	7
294	B	0	9	4
295	A	6	28	18
295	B	8	43	23
296	A	5	22	8
296	B	8	46	27
297	A	0	0	0
297	B	4	16	14
298	A	9	51	28
298	B	5	26	15
299	A	6	27	22
299	B	5	30	22
300	A	7	33	22
300	B	7	30	20
301	A	9	53	30
301	B	7	38	28
310	A	8	41	27
310	B	18	75	39
311	A	8	36	21
311	B	13	75	40
312	A	8	40	20
312	B	6	24	15
313	A	8	30	17
313	B	9	54	26
314	A	7	27	14
314	B	0	11	9
315	A	8	44	27
315	B	10	66	38
316	A	10	60	33
316	B	11	60	35
317	A	5	27	13
317	B	5	30	18
318	A	0	30	11
318	B	1	11	10
319	A	5	24	13
319	B	10	48	28
320	A	7	34	18
320	B	1	42	23
321	A	0	0	0
322	A	10	40	16
322	B	4	21	13
323	A	5	33	19
323	B	9	43	20
330	A	0	6	2
330	B	0	15	5
331	A	2	14	12
331	B	5	24	15
332	A	20	97	44
332	B	9	61	31
333	A	0	11	8
333	B	0	10	6
334	A	0	0	0
334	B	5	19	15
335	A	12	59	27
335	B	17	77	31
336	A	0	0	0
336	B	0	10	6
337	A	7	49	25
337	B	6	38	18
338	A	5	52	35
338	B	6	26	13
339	A	6	21	13
339	B	7	33	16
340	A	6	38	19
340	B	8	41	25
341	A	0	0	0
341	B	0	6	4
342	A	9	51	29
342	B	12	59	33
343	A	13	62	34
343	B	7	42	31
350	A	14	75	28
350	B	13	80	44
351	A	10	45	27
351	B	5	34	15
