subject	session	row	p_utts	c_utts	context
22	1	1	---		F talking to M
22	1	2	---		F talking to M
22	1	4	---		F talking to M
22	1	6	---		F talking to M
22	1	15	---		F speaking to M
22	1	80	--		M talking to F
22	1	81	---		F talking to M, C babbling to whole family
22	1	89	---		F talking to M
22	1	90	--		M talking to F
22	1	91	---		F talking to M
22	1	92	---		M talking to F
22	1	94	---		F talking to M
22	1	96	---		M talking to F, C yanks arm away
22	1	97	---		F talking to M
22	1	99			M talking to F
22	1	100	---		F talking to M
22	1	101	---		M talking to F
22	1	110	---		F talking to M
22	1	130	--		M talking to F
22	1	131	--		F talking to M
22	1	144	---		F talking to M.
22	1	155	thank+you.		F talking to C
22	1	162	Anielle!		F talking to C
22	1	175	---	Zevy!	F talking to M
22	1	184	---		M talking to F
22	1	185	---		M talking to F
22	1	186	here, Anielle.		F talking to C
22	1	187	Anielle.		F talking to C
22	1	190	go to mama.		F talking to C
22	1	192	take it, Anielle.		F talking to C
22	1	195	---		F talking to M
22	1	197	---		F talking to M.
22	1	199	---		F talking to M.
22	1	200	---		F talking to M.
22	1	201	---		F talking to M.
22	1	202	---		F talking to M.
22	1	203	---		F talking to M; M holding and rocking C.
22	1	204	---		F talking to M.
22	1	221	---		F talking to M.
22	1	222	---		M talking to F.
22	1	223	---		F talking to M.
22	1	224	---		M talking to F.
22	1	225	---		F talking to M.
22	1	320	---		F talking to M and G
22	1	322	---		F talking to M
22	1	323	---		M talking to F
22	1	324	---		M talking to F
22	1	325	---		F talking to M
22	1	326	ok.		F talking to M
22	1	327	---		M talking to F
22	1	328	---		F talking to M.
22	1	329	---		M talking to F
22	1	330	---		M talking to F
22	1	331	---		F talking to M.
22	1	332	---		M talking to F.
22	1	334	---		F talking to M
22	1	339	---		F talking to M.
22	1	815	---		F talking to M and G.
22	1	816	---		M talking to F.
22	1	817	---		F talking to M and G.
22	1	896	if you don't want him to do something with your things, you can tell him not to.		F talking to SIB 2
22	1	897	you don't have to just let him do things that you don't want him to do.		F talking to SIB 2
22	1	900	hello Anielle Muriel.		F talking to C.
22	1	901	good girl.		F holding C. F talking to C.
22	1	903	good girl!		F talking to C
22	1	905	is that a good show?		F talking to C, C pointing at TV.
22	1	907	good girl.		F talking to C.
22	1	908	---		M talking to F, C turns out the lights,.
22	1	909	good girl.		F talking to C.
22	1	913	what?		F talking to C.
22	1	919	don't hit, Zevy		F talking to SIB 1
22	1	922	---		M talking to F.
22	1	923	---		M talking to F.
22	1	924	---		F talking to M, C still watching video.
22	1	925	---		M talking to F.
22	1	926	yeah!		C points at video, F talking to C.
22	1	930	that's good.		F talking to SIB 2
22	1	931	---		M talking to F.
22	1	934	---		M talking to F.
22	1	935	---		M talking to F.
22	1	938	is it time for you to get dressed, Zevy?		F talking to SIB 1
22	1	939	have you been to the bath+room yet?		F talking to SIB 1
22	1	940	ok.		F talking to SIB 1
22	1	941	why don't you, uh take off your pajamas now?		F talking to SIB 1
22	1	942	let's get you dressed?		F talking to SIB 1
22	1	944	---		M talking to F
22	1	945	---		F talking to U
22	1	946	---		F talking to M.
22	1	954	---		F talking to M.
22	1	955	hey Sam.		F talking to SIB 2
22	1	956	did you have this tape when you were a kid?		F talking to SIB 2, C crawls on ouch toward F.
22	1	961	you want to call her now?		F talking to SIB 2
22	1	973	---		M talking to F.
22	1	977			M talking to F
22	1	978	is that a dolphin?		F talking to C, C points at TV.
22	1	980	on the tv.		F talking to SIB 2
22	1	981	no.		F talking to SIB 1
22	1	982	dolphin.		F talking to SIB 2
22	1	984	do dolphins smile, Zevy?		F talking to SIB 1
22	1	985	I think so too.		F talking to SIB 1
22	1	986	I mean, even real, live ones.		F talking to SIB 1
22	1	989	yeah.		F talking to SIB 1
22	1	992	you were very small. though.		F talking to SIB 1
22	1	994	oh really?		F talking to SIB 1
22	1	995	not today.		F talking to SIB 1
22	1	996	---		M talking to F.
22	1	1007	---		M talking to F.
22	1	1010	---		F talking to M.
22	1	1017	Zevy, you want me to dress you?		F talking to SIB 1
22	1	1018	you want me to dress you?		F talking to SIB 1
22	1	1019	you want me to dress you?		F talking to SIB 1
22	1	1020	ok.		F talking to SIB 1
22	1	1021	it's time to put on some clothes.		F talking to SIB 1
22	1	1035	right, baby.		F talking to C.
22	1	1036	what's this, Anielle?		F talking to C, hands her doll. C takes doll.
22	1	1039	right, baby.		F talking to C.
22	1	1049	right!		M and F talking simultaneously.
22	1	1052	---		M talking to F.
22	1	1053	---		F talking to M.
22	1	1055	---		F talking to M.
22	1	1058	---		M talking to F.
22	1	1063	---		M talking to F.
22	1	1064	---		F talking to M.
22	1	1065	---		M talking to F.
22	1	1068	can you do the metronome?		F talking to C
22	1	1076	---		M talking to F.
22	1	1078	---		F talking to M.
22	1	1079	---		M talking to F.
22	1	1080	---		F talking to M.
22	1	1081	---		M talking to F.
22	1	1083	---		F talking to M.
22	1	1084	---		M talking to F.
22	1	1085	---		F talking to M; C runs out of room.
22	1	1086	---		F talking to M.
22	1	1087	---		M talking to F.
22	1	1112	hey Zevy.		F talking to SIB 1
22	1	1114	Zevy?		F talking to SIB 1
22	1	1115	you want to go to the bath+room		F talking to SIB 1
22	1	1116	you want to go to the bath+room, Zevy?		F talking to SIB 1
22	1	1123	---		F talking to M
22	1	1124	---		M talking to F.
22	1	1125	---		F talking to M.
22	1	1132	---		F talking to M.
22	1	1133	---		M talking to F, C walks into dining room.
22	1	1139	here you go.		F talking to C.
22	1	1144	uh oh.		F talking to C.
22	1	1161	one, two, three in!		F and M in den, dressing SIB 1. C goes into den.F talking to SIB 1
22	1	1162	---		M talking to F.
22	1	1163	---		F talking to M
22	1	1164	---		M talking to F.
22	1	1166	both feet		F talking to SIB 1
22	1	1175	---		M talking to F
22	1	1176	---		M talking to F
22	1	1188	---		F talking to M
22	1	1189	---		M talking to F
22	1	1190	---		F talking to M
22	2	1	---		F talking to C
22	2	2	---		F talking to C
22	2	7	---		F talking to C
22	2	12	---		F talking to C
22	2	13	---		F talking to C
22	2	14	---		F talking to C
22	2	16	---		F talking to M
22	2	17	---		M talking to F
22	2	18	---		F talking to M
22	2	19	---		M talking to F
22	2	20	---		M talking to F
22	2	21	---		F talking to M
22	2	29	---		F talking to M
22	2	1350	---		M talking to F
22	2	1351	---		F talking to M
22	2	1352	---		M talking to F
22	2	1353	---		M talking to F
22	2	1354	---		F talking to M
22	2	1355	---		M talking to F
22	2	1356	---		F talking to M
22	2	1358	---		F talking to M
22	2	1360	---		M talking to F
22	2	1399	---		M talking to F.
22	2	1404	---		F talking to M.
22	2	1405	---		M talking to F.
22	2	1406	---		F talking to M.
22	2	1407	---	broke.	F talking to M.
22	2	1408	---	broke.	M talking to F.
22	2	1409	---		F talking to M.
22	2	1410	---		M talking to F.
22	2	1411	---		F talking to M.
22	2	1412	---	uh oh!	F talking to M.
22	2	1413	---		M talking to F.
22	2	1414	---	###	C walks into den, M talking to F
22	2	1415			M and F continue talking in other room, C watching TV in den
22	2	1497	---		F talking to M.
22	2	1512	---		F talking to M.
22	2	1513	---		M talking to F
22	2	1514	---	uh oh!	F talking to M.
22	2	1515	---		M talking to F
22	2	1516	---		F talking to M.
22	2	1517	---		M talking to F
22	2	1518	---		F talking to M.
22	2	1519	---		M talking to F
22	2	1520	---		M talking to F
22	2	1521	---		F talking to M.
22	2	1522	---		M talking to F
22	2	1523	---		F talking to M.
22	2	1524	---		M talking to F
22	2	1525	---		F talking to M.
22	2	1526	---		M talking to F
22	2	1527	---		F talking to M.
22	2	1528	---		M talking to F
22	2	1529	---		F talking to M.
22	2	1530	---		M talking to F
22	2	1535	---		F talking to C
22	2	1536	---		M talking to F.
22	2	1537			F talking to C
22	2	1540	---		F talking to C
22	2	1543	---		M talking to F.
22	2	1547	---		F talking to C
22	2	1550	---		F talking to M.
22	2	1551			M talking to F/
22	2	1553	---		F talking to C, C takes envelope away at last second again
22	2	1554	---		F talking to C
22	2	1560	---	###	M talking to F, C babbling.
22	2	1561	---		F talking to M.
22	2	1562	---		F talking to M.
22	2	1563	---		M talking to F.
22	2	1565	---		M talking to F.
22	2	1567	---		M talking to F.
