
subject	session	completed	income	mother_education
22	1	1	5	
22	2	1	5	
22	3	1	5	
22	4	1	5	
22	5	1	5	
22	6	1	5	
22	7	1	5	
22	8	1	5	
22	9	1	5	
22	10	1	5	
22	11	1	5	
22	12	1	5	
24	1	1	5	
24	2	1	5	
24	3	1	5	
24	4	1	5	
24	5	1	5	
24	6	1	6	
24	7	1	6	
24	8	1	6	
24	9	1	6	
24	10	1	6	
24	11	1	6	
24	12	1	6	
25	1	1	4	
25	2	1	4	
25	3	1	4	
25	4	1	4	
25	5	1	4	
25	6	1	4	
25	7	1	4	
25	8	1	4	
25	9	1	5	
25	10	1	5	
25	11	1	5	
25	12	1	5	
27	1	1	6	
27	2	1	6	
27	3	1	6	
27	4	1	6	
27	5	1	6	
27	6	1	6	
27	7	1	6	
27	8	1	6	
27	9	1	6	
27	10	1	6	
27	11	1	6	
27	12	1	6	
28	1	1	6	
28	2	1	6	
28	3	1	6	
28	4	1	6	
28	5	1	6	
28	6	1	6	
28	7	1	6	
28	8	1	6	
28	9	1	6	
28	10	1	6	
28	11	1	6	
28	12	1	6	
29	1	1	6	
29	2	1	6	
29	3	1	6	
29	4	1	6	
29	5	1	6	
29	6	1	6	
29	7	1	6	
29	8	1	6	
29	9	1	6	
29	10	1	6	
29	11	1	6	
29	12	1	6	
33	1	1	2	
33	2	1	2	
33	3	1	2	
33	4	1	2	
33	5	1	2	
33	6	1	2	
33	7	1	2	
33	8	1	2	
33	9	1	2	
33	10	1	4	
33	11	1	2	
33	12	1	2	
37	1	1	4	
37	2	1	4	
37	3	1	4	
37	4	1	4	
37	5	1	4	
37	6	1	5	
37	7	1	5	
37	8	1	5	
37	9	1	5	
37	10	1	5	
37	11	1	5	
37	12	1	5	
38	1	1	3	
38	2	1	3	
38	3	1	3	
38	4	1	3	
38	5	1	3	
38	6	1	4	
38	7	1	5	
38	8	1	5	
38	9	1	5	
38	10	1	5	
38	11	1	5	
38	12	1	5	
39	1	1	6	
39	2	1		
39	3	1		
39	4	1	6	
39	5	1	6	
39	6	1	6	
39	7	1	6	
39	8	1	5	
39	9	1	5	
39	10	1	5	
39	11	1	5	
39	12	1	5	
40	1	1	5	
40	2	1	5	
40	3	1	5	
40	4	1	5	
40	5	1	5	
40	6	1	5	
40	7	1	5	
40	8	1	5	
40	9	1	5	
40	10	1	5	
40	11	1	5	
40	12	1	5	
42	1	1	2	
42	2	1	2	
42	3	1	2	
42	4	1	2	
42	5	1	2	
42	6	1	2	
42	7	1	2	
42	8	1	2	
42	9	1	2	
42	10	1	2	
42	12	1	2	
43	1	1	4	
43	2	1	4	
43	3	1	4	
43	4	1	4	
43	5	1	3	
43	6	1	3	
43	7	1	4	
43	8	1	4	
43	9	1	4	
43	10	1	4	
43	11	1	4	
43	12	1	4	
44	1	1	3	
44	2	1	3	
44	3	1	3	
44	4	1	3	
44	5	1	3	
44	6	1	3	
44	7	1	3	
44	8	1	3	
44	9	1	3	
44	10	1	3	
44	11	1	3	
44	12	1	3	
45	1	1	6	
45	2	1	6	
45	3	1	6	
45	4	1	6	
45	5	1	6	
45	6	1	6	
45	7	1	6	
45	8	1	6	
45	9	1	6	
45	10	1	6	
45	11	1	6	
45	12	1	6	
47	1	1	6	
47	2	1	6	
47	3	1	6	
47	4	1	6	
47	5	1	6	
47	6	1	6	
47	7	1	6	
47	8	1	6	
47	9	1	6	
47	10	1	6	
47	11	1	6	
47	12	1	6	
48	1	1	6	
48	2	1	6	
48	3	1	6	
48	4	1	6	
48	5	1	6	
48	6	1	6	
48	7	1	6	
48	8	1	6	
48	9	1	6	
48	10	1	6	
48	11	1	6	
48	12	1	6	
49	1	1	5	
49	2	1	5	
49	3	1	5	
49	4	1	5	
49	5	1	5	
49	6	1	5	
49	7	1	5	
49	8	1	5	
49	9	1	5	
49	10	1	5	
49	11	1	5	
49	12	1	5	
50	1	1	3	
50	2	1	3	
50	3	1	3	
50	4	1	3	
50	5	1	3	
50	6	1	3	
50	7	1	3	
50	8	1	3	
50	9	1	4	
50	10	1	4	
50	11	1	4	
50	12	1	4	
51	1	1	3	
51	2	1	3	
51	3	1	3	
51	4	1	3	
51	5	1	3	
51	6	1	3	
51	7	1	3	
51	8	1	3	
51	9	1	3	
