subject	session	minutes
22	1	92
22	2	90
22	3	91.52
22	4	90
22	5	89.3
22	6	90
22	7	89.58
22	8	90
22	9	90
24	1	91.16
24	2	90
24	3	80
24	4	90
24	5	90.19
24	6	89.58
24	7	90
24	8	90
24	9	90
25	1	79.54
25	2	87.05
25	3	87.05
25	4	90
25	5	90
25	6	90
25	7	90
25	8	90
25	9	90
27	1	79.05
27	2	91.55
27	3	86.45
27	4	89.58
27	5	90
27	6	89.56
27	7	89.58
27	8	91.42
27	9	90
28	1	80.87
28	2	88.41
28	3	86.29
28	4	89.56
28	5	89.44
28	6	90
28	7	89.58
28	8	89.57
28	9	90
29	1	92.46
29	2	89.56
29	3	90
29	4	89.24
29	5	90
29	6	90
29	7	90
29	8	90
29	9	90
33	1	79.53
33	2	86.08
33	3	86.05
33	4	89.54
33	5	90
33	6	90
33	7	90
33	8	89.45
33	9	91
37	1	82
37	2	88
37	3	85.01
37	4	90.08
37	5	90
37	6	90
37	7	90
37	8	90
37	9	90
38	1	91.39
38	2	87.58
38	3	89.41
38	4	88.56
38	5	90
38	6	90
38	7	90
38	8	90
38	9	90
39	1	82.27
39	2	90
39	3	89.41
39	4	90
39	5	90
39	6	90.01
39	7	90
39	8	90
39	9	90
40	1	95.43
40	2	89.18
40	3	89.43
40	4	90
40	5	90.44
40	6	89.57
40	7	89.56
40	8	73.58
40	9	90
42	1	86.01
42	2	89.58
42	3	90.07
42	4	89.34
42	5	90.02
42	6	90.03
42	7	86.25
42	8	90
42	9	90
43	1	88.02
43	2	89.05
43	3	90
43	4	90
43	5	90
43	6	89.5
43	7	90.01
43	8	90
43	9	90
44	1	90.05
44	2	89.32
44	3	88.53
44	4	90.05
44	5	89.33
44	6	90.01
44	7	90.02
44	8	89.58
44	9	89.54
45	1	88.13
45	2	89
45	3	90.02
45	4	90
45	5	90
45	6	90.02
45	7	90
45	8	90.02
45	9	89.55
47	1	89.06
47	2	87.51
47	3	90.01
47	4	89.57
47	5	89.5
47	6	90.08
47	7	91.01
47	8	90
47	9	90
48	1	89.3
48	2	90.01
48	3	90
48	4	89.57
48	5	90.02
48	6	90
48	7	89.57
48	8	90
48	9	89.58
49	1	84.22
49	2	90
49	3	90
49	4	89.3
49	5	90
49	6	90.08
49	7	90.13
49	8	89.56
49	9	90
50	1	86.18
50	2	89.45
50	3	89.56
50	4	89.57
50	5	90.08
50	6	89.57
50	7	90.03
50	8	90
50	9	89.26
51	1	90.05
51	2	89.35
51	3	89
51	4	89
51	5	89.54
51	6	89.21
51	7	90.16
51	8	89.68
51	9	84.11
54	1	86.24
54	2	85.25
54	3	90.02
54	4	90.01
54	5	87.59
54	6	90
54	7	89.52
54	8	90
54	9	90.06
55	1	90.02
55	2	89.22
55	3	87.84
55	4	90
55	5	89.59
55	6	90
55	7	89.45
55	8	90
55	9	90
58	1	90
58	2	90
58	3	90
58	4	90
58	5	90
58	6	90
58	7	90
58	8	90
58	9	87
59	1	83.53
59	2	85.02
59	3	89.59
59	4	90
59	5	
59	6	90
59	7	90
59	8	90
59	9	90
61	1	86.41
61	2	85.35
61	3	88.26
61	4	90.02
61	5	89.46
61	6	59.55
61	7	90.05
61	8	90
61	9	90
62	1	87.59
62	2	86
62	3	90.09
62	4	89.19
62	5	90.5
62	6	89.56
62	7	89
62	8	90
62	9	89.58
64	1	88.54
64	2	86.1
64	3	85.52
64	4	90
64	5	89.59
64	6	89.59
64	7	90
64	8	90
64	9	90.48
65	1	84.3
65	2	86.04
65	3	90
65	4	89.02
65	5	90.01
65	6	90.02
65	7	90.34
65	8	89.59
65	9	90
66	1	88.34
66	2	90.52
66	3	90.03
66	4	90
66	5	90.22
66	6	89.41
66	7	90.13
66	8	70
66	9	89.53
68	1	56.38
68	2	86.35
68	3	89.57
68	4	75.03
68	5	90.03
68	6	92.39
68	7	88.26
68	8	90.06
68	9	60.27
72	1	87.38
72	2	89.06
72	3	90.03
72	4	89.54
72	5	90.29
72	6	89.53
72	7	90.02
72	8	90.03
72	9	89.57
73	1	90
73	2	87.47
73	3	90
73	4	89.48
73	5	90.19
73	6	90.53
73	7	90.05
73	8	90.24
73	9	90
74	1	84.54
74	2	88.5
74	3	90.02
74	4	90.03
74	5	83.38
74	6	90
74	7	90.01
74	8	90
74	9	90.02
75	1	87.09
75	2	90.03
75	3	44.4
75	4	90.01
75	5	62.48
75	6	90.01
75	7	90.01
75	8	90.01
75	9	90.04
76	1	
76	2	
