SUBJ	SESS	VOCAB	READ_WJ	READ_GM
22	1			
22	5	50		
22	8	81		
22	11	84		
22	22		525	
22	22			504
22	25		530	
22	25			562
22	27	160		
24	1			
24	5	43		
24	8	77		
24	11	88		
24	22		514	
24	22			524
24	25		519	
24	25			562
24	27	158		
25	1			
25	5	10		
25	8	45		
25	11	66		
25	22		464	
25	22			438
25	25		483	
25	25			423
25	27	168		
27	1			
27	5	28		
27	8	62		
27	11	96		
27	22		516	
27	22			472
27	25		536	
27	25			524
27	27	154		
28	1			
28	5	18		
28	8	45		
28	11	56		
28	22		470	
28	22			462
28	25		494	
28	25			512
28	27	145		
29	1			
29	5	37		
29	8	65		
29	11	82		
29	22		497	
29	22			504
29	25		511	
29	25			509
29	27	138		
33	1			
33	5	15		
33	8	36		
33	11	52		
33	22			
33	22			
33	25			
33	25			
33	27			
37	1			
37	5	29		
37	8	52		
37	11	82		
37	22		506	
37	22			489
37	25		514	
37	25			512
37	27	147		
38	1			
38	5	40		
38	8	78		
38	11	78		
38	22		480	
38	22			504
38	25		497	
38	25			512
38	27	147		
39	1			
39	5	34		
39	8	59		
39	11	91		
39	22		511	
39	22			468
39	25		530	
39	25			497
39	27	150		
40	1			
40	5	34		
40	8	68		
40	11	101		
40	22			
40	22			
40	25			
40	25			
40	27			
42	1			
42	5	14		
42	8	39		
42	22		497	
42	22			442
42	25		514	
42	25			497
42	27	148		
43	1			
43	5	38		
43	8	87		
43	11	107		
43	22		514	
43	22			504
43	25		536	
43	25			562
43	27	176		
44	1			
44	5	12		
44	8	40		
44	11	44		
44	22		480	
44	22			431
44	25		508	
44	25			476
44	27	148		
45	1			
45	5	36		
45	8	57		
45	11	76		
45	22		514	
45	22			499
45	25		527	
45	25			509
45	27	150		
47	1			
47	5	22		
47	8	43		
47	11	79		
47	22		506	
47	22			465
47	25		511	
47	25			487
47	27	152		
48	1			
48	5	21		
48	8	49		
48	11	79		
48	22		470	
48	22			448
48	25		503	
48	25			524
48	27	160		
49	1			
49	5	44		
49	8	59		
49	11	96		
49	22		533	
49	22			462
49	25		545	
49	25			524
49	27	163		
50	1			
50	5	37		
50	8	58		
50	11	91		
50	22		506	
50	22			478
50	25		527	
50	25			519
50	27	167		
51	1			
51	5	34		
51	8	71		
51	11	82		
51	22		533	
51	22			516
51	25		539	
51	25			
51	27	168		
54	1			
54	5	64		
54	8	88		
54	11	120		
54	22		527	
54	22			499
54	25		530	
54	25			545
54	27	176		
55	1			
55	5			
55	8	36		
55	11	75		
55	22		483	
55	22			451
55	25		503	
55	25			502
55	27	133		
58	1			
58	5	48		
58	8	68		
58	11	84		
58	22		503	
58	22			534
58	25		519	
58	25			596
58	27	172		
59	1			
59	8	44		
59	11	49		
59	22		500	
59	22			442
59	25		522	
59	25			428
59	27	152		
61	1			
61	5	24		
61	8	14		
61	11	43		
61	22		457	
61	22			333
61	25		473	
61	25			
61	27	116		
62	1			
62	5	31		
62	8	56		
62	11	78		
62	22		525	
62	22			510
62	25		533	
62	25			533
62	27	152		
64	1			
64	5			
64	8	10		
64	11	21		
64	22		494	
64	22			478
64	25		519	
64	25			447
64	27	138		
65	1			
65	5	22		
65	8	82		
65	11	120		
65	22		527	
65	22			516
65	25		542	
65	25			533
65	27	174		
66	1			
66	5	26		
66	8	46		
66	11	72		
66	22		470	
66	22			424
66	25		486	
66	25			447
66	27	152		
68	1			
68	5	22		
68	8	35		
68	11	32		
68	22		511	
68	22			431
68	25		522	
68	25			457
68	27	127		
72	1			
72	5	25		
72	8	54		
72	11	77		
72	22		497	
72	22			472
72	25		514	
72	25			562
72	27	152		
73	1			
73	5	8		
73	8	37		
73	11	61		
73	22			
73	22			
73	25			
73	25			
73	27	132		
74	1			
74	5	25		
74	8	54		
74	11	67		
74	22		470	
74	22			435
74	25		497	
74	25			467
74	27	120		
75	1			
75	5	37		
75	8	58		
75	11	74		
75	22		536	
75	22			524
75	25		542	
75	25			552
75	27	170		
76	1			
77	1			
77	5	2		
77	8	16		
77	11	25		
77	22		477	
77	22			390
77	25		497	
77	25			451
77	27	96		
78	1			
78	5	11		
78	8	53		
78	11	72		
78	22		467	
78	22			499
78	25		480	
78	25			479
78	27	164		
79	1			
79	5	22		
79	8	41		
79	11	85		
79	22		516	
79	22			462
79	25		527	
79	25			528
79	27	123		
80	1			
80	5	4		
80	8	30		
80	11	33		
80	22		470	
80	22			431
80	25		480	
80	25			443
80	27	87		
81	1			
81	5	25		
81	8	49		
81	11	53		
81	22		438	
81	22			486
81	25		514	
81	25			493
81	27	150		
82	1			
82	5	31		
82	8	44		
82	11	64		
82	22		506	
82	22			524
82	25			
82	25			
83	1			
83	5	12		
83	8	43		
83	11	70		
83	22		470	
83	22			465
83	25		486	
83	25			493
83	27	150		
84	1			
84	5	28		
84	8	50		
84	11	73		
84	22		483	
84	22			454
84	25		497	
84	25			505
84	27	147		
85	1			
85	5	29		
85	8	36		
85	11	47		
85	22		464	
85	22			385
85	25		489	
85	25			457
85	27	126		
87	1			
87	5	11		
87	8	17		
87	11	34		
87	22		453	
87	22			385
87	25		470	
87	25			447
87	27	118		
88	1			
88	5	33		
88	8	73		
88	11	92		
88	22		508	
88	22			516
88	25		519	
88	25			528
88	27	181		
89	1			
89	5	35		
89	8	33		
89	11			
89	22		480	
89	22			504
89	25			
89	25			
89	27			
91	1			
91	5	42		
92	1			
92	5	39		
92	8	64		
92	11	88		
92	22		522	
92	22			472
92	25		525	
92	25			509
92	27	156		
100	1			
100	5	29		
100	8	35		
100	11	49		
100	22		497	
100	22			454
100	25		503	
100	25			497
100	27	166		
102	1			
102	5	33		
102	8	46		
102	11	83		
102	22		486	
102	22			462
102	25		503	
102	25			487
102	27	151		
103	1			
103	5	32		
103	8	61		
103	11	67		
103	22		525	
103	22			534
103	25		536	
103	25			545
103	27	165		
105	1			
105	5	30		
105	8	63		
105	11	62		
105	22		489	
105	22			411
105	25		506	
105	25			470
105	27	117		
106	1			
106	5	64		
106	8	70		
