SUBJ	SEX	EDU	INC	RACE	ETHN	SESS	AGE	PWT	CWT
38	F	5	3	W	N	8	42	346	307
51	M	4	3	W	H	10	50	264	457
54	M	5	2	W	N	5	30	580	311
66	F	4	3	W	N	7	38	373	243
65	M	5	4	W	N	7	38	524	362
92	M	4	6	W	N	3	22	461	227
102	M	4	1	W	N	1	14	511	1
106	F	5	4	M	N	4	26	0	0
88	M	5	5	W	H	1	14	378	10
22	F	4	5	W	N	6	34	650	397
76	M	4	4	B	N	5	30	0	0
108	F	2	3	M	N	3	22	487	137
102	M	4	1	W	N	10	50	534	291
127	M	4	4	W	H	8	42	312	320
43	M	4	4	W	N	10	50	487	455
77	F	1	1	B	N	1	14	208	6
40	F	2	5	M	N	1	14	433	42
119	F	5	5	W	N	1	14	437	7
47	F	5	6	W	N	4	26	509	143
51	M	4	3	W	H	2	18	434	42
42	M	3	2	W	N	9	46	420	327
109	M	4	4	W	N	9	46	550	294
61	F	2	1	W	H	7	38	512	289
127	M	4	4	W	H	9	46	527	209
107	M	3	4	W	N	5	30	558	274
66	F	4	3	W	N	5	30	480	220
65	M	5	4	W	N	5	30	498	342
107	M	3	4	W	N	3	22	410	81
105	F	4	4	W	N	3	22	481	111
68	F	3	2	B	N	6	34	295	192
83	F	5	4	W	N	11	54	645	287
62	M	2	5	W	N	3	22	457	81
82	F	3	1	B	N	10	50	435	322
103	F	4	4	M	N	7	38	499	402
77	F	1	1	B	N	3	22	189	38
66	F	4	3	W	N	4	26	512	148
89	M	4	3	B	N	4	26	281	186
92	M	4	6	W	N	6	34	827	406
50	M	4	3	W	N	9	46	392	311
75	M	5	6	W	N	9	46	821	385
124	F	2	2	B	H	5	30	289	77
37	F	4	4	W	N	9	46	453	203
49	M	4	5	W	N	2	18	536	5
85	M	3	2	M	N	6	34	552	177
61	F	2	1	W	H	1	14	204	19
65	M	5	4	W	N	3	22	559	186
107	M	3	4	W	N	1	14	412	59
65	M	5	4	W	N	8	42	496	383
74	F	4	5	W	N	3	22	149	52
123	M	4	6	W	H	9	46	0	0
124	F	2	2	B	H	4	26	0	0
91	F	5	6	W	N	1	14	413	18
59	F	5	4	B	N	7	38	274	227
82	F	3	1	B	N	6	34	577	313
40	F	2	5	M	N	5	30	334	288
42	M	3	2	W	N	5	30	508	236
91	F	5	6	W	N	4	26	497	258
58	M	5	3	W	N	3	22	396	118
58	M	5	3	W	N	8	42	548	429
91	F	5	6	W	N	9	46	0	0
65	M	5	4	W	N	1	14	392	17
87	M	5	1	B	N	5	30	178	151
62	M	2	5	W	N	10	50	471	234
68	F	3	2	B	N	5	30	363	226
92	M	4	6	W	N	11	54	709	561
100	M	4	5	W	N	5	30	422	285
29	F	5	6	M	N	9	46	587	493
72	M	5	5	W	N	7	38	444	239
48	M	5	6	W	N	4	26	372	38
82	F	3	1	B	N	8	42	404	342
107	M	3	4	W	N	10	50	500	323
64	M	3	2	W	H	3	22	156	25
75	M	5	6	W	N	5	30	587	279
59	F	5	4	B	N	11	54	120	335
83	F	5	4	W	N	1	14	580	0
58	M	5	3	W	N	1	14	371	33
85	M	3	2	M	N	2	18	731	34
92	M	4	6	W	N	4	26	607	326
22	F	4	5	W	N	8	42	662	344
102	M	4	1	W	N	9	46	453	307
43	M	4	4	W	N	3	22	400	157
74	F	4	5	W	N	7	38	266	253
68	F	3	2	B	N	7	38	571	224
