SUBJ	SEX	EDU	INC	RACE	ETHN
22	F	4	5	W	N
24	F	5	5	B	N
25	M	4	4	W	N
27	M	5	6	W	N
28	F	4	6	W	N
29	F	5	6	M	N
33	M	3	2	B	N
37	F	4	4	W	N
38	F	5	3	W	N
39	M	4	6	B	N
40	F	2	5	M	N
42	M	3	2	W	N
43	M	4	4	W	N
44	F	3	3	B	N
45	F	4	6	W	N
47	F	5	6	W	N
48	M	5	6	W	N
49	M	4	5	W	N
50	M	4	3	W	N
51	M	4	3	W	H
54	M	5	2	W	N
55	F	2	2	W	H
58	M	5	3	W	N
59	F	5	4	B	N
61	F	2	1	W	H
62	M	2	5	W	N
64	M	3	2	W	H
65	M	5	4	W	N
66	F	4	3	W	N
68	F	3	2	B	N
72	M	5	5	W	N
73	F	1	2	W	H
74	F	4	5	W	N
75	M	5	6	W	N
76	M	4	4	B	N
77	F	1	1	B	N
78	M	5	2	W	N
79	M	4	6	W	N
80	M	3	2	B	N
81	F	2	2	W	N
82	F	3	1	B	N
83	F	5	4	W	N
84	M	3	6	W	N
85	M	3	2	M	N
87	M	5	1	B	N
88	M	5	5	W	H
89	M	4	3	B	N
91	F	5	6	W	N
92	M	4	6	W	N
100	M	4	5	W	N
102	M	4	1	W	N
103	F	4	4	M	N
105	F	4	4	W	N
106	F	5	4	M	N
107	M	3	4	W	N
108	F	2	3	M	N
109	M	4	4	W	N
110	F	4	5	W	N
119	F	5	5	W	N
123	M	4	6	W	H
124	F	2	2	B	H
125	F	5	6	W	N
126	F	2	2	B	N
127	M	4	4	W	H
